Sample,ReadsPreCorrection,ReadsPostCorrection,ProportionReadsRemaining,NumberParticlesPreBCCorrection,NumberParticlesPostBCCorrection,ProportionParticlesRemaining
20230816-E-1-r1,1588,1559,0.982,355,332,0.935
20230816-E-1-r2,1864,1809,0.97,601,554,0.922
20230816-E-2-r1,1910,1874,0.981,418,391,0.935
20230816-E-2-r2,2104,2063,0.981,554,520,0.939
20230816-E-3-r1,13565,13159,0.97,2524,2290,0.907
20230816-E-3-r2,31136,30359,0.975,4924,4454,0.905
20230816-E-4-r1,11732,11511,0.981,1593,1433,0.9
20230816-E-4-r2,20808,20121,0.967,1880,1665,0.886
20230816-J-1-r1,6064,5761,0.95,897,786,0.876
20230816-J-1-r2,13028,12744,0.978,1651,1501,0.909
20230816-J-2-r1,10080,9773,0.97,1718,1521,0.885
20230816-J-2-r2,10221,9949,0.973,2024,1823,0.901
20230816-J-3-r1,5682,5512,0.97,723,652,0.902
20230816-J-3-r2,6714,6482,0.965,953,848,0.89
20230816-J-4-r1,21445,20762,0.968,3106,2684,0.864
20230816-J-4-r2,18370,17200,0.936,2909,2481,0.853
20230816-JEE-1-r1,9594,9217,0.961,891,787,0.883
20230816-JEE-1-r2,5308,5160,0.972,1022,921,0.901
20230816-JEE-3-r1,1254,1215,0.969,344,312,0.907
20230816-JEE-3-r2,2160,2094,0.969,505,452,0.895
20230816-JEE-4-r1,21574,20842,0.966,4602,4242,0.922
20230816-JEE-4-r2,20877,20242,0.97,3616,3258,0.901
20230816-JEJ-1-r1,17908,17529,0.979,1437,1281,0.891
20230816-JEJ-1-r2,3642,3564,0.979,609,553,0.908
20230816-JEJ-2-r1,7841,7638,0.974,1295,1168,0.902
20230816-JEJ-2-r2,6008,5679,0.945,1153,1002,0.869
20230816-JEJ-3-r1,189,185,0.979,95,92,0.968
20230816-JEJ-3-r2,458,447,0.976,228,218,0.956
20230816-JEJ-4-r1,46940,45567,0.971,8580,7750,0.903
20230816-JEJ-4-r2,36254,35173,0.97,7500,6784,0.905
