Particle,OTU,Sample,Count
20230816-E-1-r2bcnum26_72_78,Otu1,20230816-E-1-r2,4
20230816-E-1-r2bcnum26_72_44,Otu1,20230816-E-1-r2,1
20230816-E-1-r2bcnum26_91_81,Otu1,20230816-E-1-r2,1
20230816-E-1-r2bcnum1_18_85,Otu1,20230816-E-1-r2,5
20230816-E-1-r2bcnum26_56_6,Otu1,20230816-E-1-r2,1
20230816-E-3-r1bcnum87_41_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum1_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum55_24_51,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum3_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum57_95_96,Otu1,20230816-E-3-r1,9
20230816-E-3-r1bcnum32_35_52,Otu1,20230816-E-3-r1,3
20230816-E-3-r1bcnum53_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_85_52,Otu1,20230816-E-3-r1,168
20230816-E-3-r1bcnum25_72_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_52_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_87_52,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum25_56_52,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum25_18_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_75_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_80_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_55_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum25_35_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum68_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum71_25_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum11_75_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum29_87_2,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum42_51_51,Otu1,20230816-E-3-r1,11
20230816-E-3-r1bcnum66_53_72,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum61_12_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum59_72_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum56_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum39_78_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum95_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum24_43_29,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum24_20_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum14_53_72,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum7_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum50_91_2,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum23_31_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum82_44_51,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum63_25_19,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum63_1_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum64_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum89_7_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum30_34_9,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum15_84_52,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum15_34_78,Otu1,20230816-E-3-r1,1
20230816-E-3-r1bcnum52_85_52,Otu1,20230816-E-3-r1,2
20230816-E-3-r1bcnum49_85_52,Otu1,20230816-E-3-r1,1
20230816-E-3-r2bcnum60_51_38,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum94_74_3,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum1_60_9,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum3_24_9,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum13_16_72,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum12_68_66,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum35_66_19,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_57_52,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_87_66,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum32_64_52,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_35_40,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_67_66,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_35_66,Otu1,20230816-E-3-r2,46
20230816-E-3-r2bcnum32_35_84,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum32_66_66,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_71_66,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum32_80_66,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum93_15_72,Otu1,20230816-E-3-r2,13
20230816-E-3-r2bcnum93_20_72,Otu1,20230816-E-3-r2,3
20230816-E-3-r2bcnum25_47_16,Otu1,20230816-E-3-r2,15
20230816-E-3-r2bcnum41_29_45,Otu1,20230816-E-3-r2,14
20230816-E-3-r2bcnum41_26_45,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum41_9_45,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum41_29_67,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum62_6_74,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum33_60_9,Otu1,20230816-E-3-r2,12
20230816-E-3-r2bcnum68_83_41,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum71_3_67,Otu1,20230816-E-3-r2,6
20230816-E-3-r2bcnum11_58_13,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum9_6_13,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum66_69_90,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum66_69_7,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum66_69_6,Otu1,20230816-E-3-r2,3
20230816-E-3-r2bcnum66_35_83,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum44_18_4,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum37_5_36,Otu1,20230816-E-3-r2,33
20230816-E-3-r2bcnum96_5_36,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum14_96_73,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum14_15_23,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum14_15_9,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum14_15_40,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum14_15_91,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum14_15_11,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum31_35_90,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum31_35_66,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum67_20_9,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum63_18_4,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum63_4_4,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum85_6_13,Otu1,20230816-E-3-r2,45
20230816-E-3-r2bcnum85_13_13,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum85_64_13,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum85_24_13,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum85_35_13,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum89_43_67,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum91_4_18,Otu1,20230816-E-3-r2,2
20230816-E-3-r2bcnum74_83_17,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum15_62_64,Otu1,20230816-E-3-r2,1
20230816-E-3-r2bcnum46_93_22,Otu1,20230816-E-3-r2,7
20230816-E-3-r2bcnum46_22_22,Otu1,20230816-E-3-r2,1
20230816-E-4-r1bcnum48_19_56,Otu1,20230816-E-4-r1,1
20230816-E-4-r1bcnum20_4_84,Otu1,20230816-E-4-r1,3
20230816-E-4-r1bcnum76_21_36,Otu1,20230816-E-4-r1,4
20230816-E-4-r1bcnum27_7_34,Otu1,20230816-E-4-r1,1
20230816-E-4-r1bcnum79_37_84,Otu1,20230816-E-4-r1,1
20230816-E-4-r1bcnum79_55_84,Otu1,20230816-E-4-r1,1
20230816-E-4-r1bcnum79_24_84,Otu1,20230816-E-4-r1,4
20230816-E-4-r1bcnum79_83_84,Otu1,20230816-E-4-r1,1
20230816-E-4-r1bcnum4_4_84,Otu1,20230816-E-4-r1,1
20230816-E-4-r2bcnum48_57_49,Otu1,20230816-E-4-r2,9
20230816-E-4-r2bcnum23_62_45,Otu1,20230816-E-4-r2,3
20230816-JEE-1-r1bcnum18_19_70,Otu1,20230816-JEE-1-r1,5
20230816-JEE-1-r2bcnum1_80_45,Otu1,20230816-JEE-1-r2,3
20230816-JEE-1-r2bcnum3_80_45,Otu1,20230816-JEE-1-r2,2
20230816-JEE-1-r2bcnum62_80_45,Otu1,20230816-JEE-1-r2,1
20230816-JEE-1-r2bcnum29_80_45,Otu1,20230816-JEE-1-r2,121
20230816-JEE-1-r2bcnum29_92_45,Otu1,20230816-JEE-1-r2,1
20230816-JEE-1-r2bcnum65_80_45,Otu1,20230816-JEE-1-r2,2
20230816-JEE-1-r2bcnum44_92_17,Otu1,20230816-JEE-1-r2,1
20230816-JEE-1-r2bcnum82_23_70,Otu1,20230816-JEE-1-r2,2
20230816-JEE-1-r2bcnum85_62_35,Otu1,20230816-JEE-1-r2,1
20230816-JEE-1-r2bcnum30_80_45,Otu1,20230816-JEE-1-r2,1
