Distance,BarcodeRound,Sample,NumberParticlesDistance,NumberReadsDistance,SampleNumberParticles,SampleNumberReads,ProportionParticle,ProportionReads
0,Barcode1,20230816-E-1-r1,8097,1980240,12450,2037445,0.650361445783133,0.971923168478168
1,Barcode1,20230816-E-1-r1,3615,30100,12450,2037445,0.290361445783133,0.0147734049262679
2,Barcode1,20230816-E-1-r1,400,9319,12450,2037445,0.0321285140562249,0.00457386579760435
3,Barcode1,20230816-E-1-r1,219,10208,12450,2037445,0.0175903614457831,0.00501019659426389
4,Barcode1,20230816-E-1-r1,118,7577,12450,2037445,0.00947791164658635,0.0037188733929014
5,Barcode1,20230816-E-1-r1,1,1,12450,2037445,8.03212851405623e-05,4.90810794892623e-07
0,Barcode2,20230816-E-1-r1,7387,1805016,12450,2037445,0.593333333333333,0.885921337753903
1,Barcode2,20230816-E-1-r1,4252,226864,12450,2037445,0.341526104417671,0.11134730017252
2,Barcode2,20230816-E-1-r1,737,5425,12450,2037445,0.0591967871485944,0.00266264856229248
3,Barcode2,20230816-E-1-r1,73,139,12450,2037445,0.00586345381526104,6.82227004900746e-05
4,Barcode2,20230816-E-1-r1,1,1,12450,2037445,8.03212851405623e-05,4.90810794892623e-07
0,Barcode3,20230816-E-1-r1,7302,1827308,12450,2037445,0.586506024096386,0.896862491993649
1,Barcode3,20230816-E-1-r1,4156,203201,12450,2037445,0.333815261044177,0.0997332443329759
2,Barcode3,20230816-E-1-r1,857,6798,12450,2037445,0.0688353413654619,0.00333653178368005
3,Barcode3,20230816-E-1-r1,133,136,12450,2037445,0.0106827309236948,6.67502681053967e-05
4,Barcode3,20230816-E-1-r1,2,2,12450,2037445,0.000160642570281125,9.81621589785246e-07
0,Barcode1,20230816-E-1-r2,10812,2384895,16937,2487698,0.638365708212789,0.958675450155123
1,Barcode1,20230816-E-1-r2,4943,62777,16937,2487698,0.291846253763949,0.0252349762712355
2,Barcode1,20230816-E-1-r2,627,12061,16937,2487698,0.0370195430123398,0.0048482573045442
3,Barcode1,20230816-E-1-r2,419,20230,16937,2487698,0.0247387376749129,0.00813201602445313
4,Barcode1,20230816-E-1-r2,130,7316,16937,2487698,0.00767550333589183,0.00294087144018285
5,Barcode1,20230816-E-1-r2,6,419,16937,2487698,0.000354254000118085,0.000168428804460992
0,Barcode2,20230816-E-1-r2,10501,2299184,16937,2487698,0.620003542540001,0.924221509202484
1,Barcode2,20230816-E-1-r2,5425,178430,16937,2487698,0.320304658440102,0.0717249441049516
2,Barcode2,20230816-E-1-r2,895,9967,16937,2487698,0.0528428883509476,0.00400651526029285
3,Barcode2,20230816-E-1-r2,113,114,16937,2487698,0.0066717836688906,4.58254981111051e-05
4,Barcode2,20230816-E-1-r2,3,3,16937,2487698,0.000177127000059042,1.20593416081856e-06
0,Barcode3,20230816-E-1-r2,10772,2371570,16937,2487698,0.636004014878668,0.953319092590821
1,Barcode3,20230816-E-1-r2,5288,102802,16937,2487698,0.312215858770739,0.0413241478668231
2,Barcode3,20230816-E-1-r2,793,13059,16937,2487698,0.0468205703489402,0.00524943140204317
3,Barcode3,20230816-E-1-r2,81,264,16937,2487698,0.00478242900159414,0.000106122206152033
4,Barcode3,20230816-E-1-r2,3,3,16937,2487698,0.000177127000059042,1.20593416081856e-06
0,Barcode1,20230816-E-2-r1,6945,2212288,11244,2282284,0.617662753468517,0.969330723082666
1,Barcode1,20230816-E-2-r1,3336,37697,11244,2282284,0.296691568836713,0.0165172257265091
2,Barcode1,20230816-E-2-r1,496,7619,11244,2282284,0.0441124155104945,0.00333832248747308
3,Barcode1,20230816-E-2-r1,374,19665,11244,2282284,0.0332621842760583,0.00861636851504896
4,Barcode1,20230816-E-2-r1,86,4894,11244,2282284,0.00764852365706154,0.00214434312294175
5,Barcode1,20230816-E-2-r1,7,121,11244,2282284,0.000622554251156172,5.30170653608403e-05
0,Barcode2,20230816-E-2-r1,6849,2163606,11244,2282284,0.609124866595518,0.94800033650501
1,Barcode2,20230816-E-2-r1,3625,105390,11244,2282284,0.322394165777303,0.0461774257717269
2,Barcode2,20230816-E-2-r1,673,13189,11244,2282284,0.0598541444325863,0.00577886012433159
3,Barcode2,20230816-E-2-r1,96,98,11244,2282284,0.00853788687299893,4.2939441366631e-05
4,Barcode2,20230816-E-2-r1,1,1,11244,2282284,8.89363215937389e-05,4.38157564965622e-07
0,Barcode3,20230816-E-2-r1,6909,2049395,11244,2282284,0.614461045891142,0.897957922852721
1,Barcode3,20230816-E-2-r1,3635,229658,11244,2282284,0.323283528993241,0.100626390054875
2,Barcode3,20230816-E-2-r1,615,3035,11244,2282284,0.0546958377801494,0.00132980820967066
3,Barcode3,20230816-E-2-r1,84,195,11244,2282284,0.00747065101387407,8.54407251682963e-05
4,Barcode3,20230816-E-2-r1,1,1,11244,2282284,8.89363215937389e-05,4.38157564965622e-07
