Sample,ReadsPreCorrection,ReadsPostCorrection,ProportionReadsRemaining,NumberParticlesPreBCCorrection,NumberParticlesPostBCCorrection,ProportionParticlesRemaining
20230816-E-1-r1,2037445,1998342,0.981,9230,7190,0.779
20230816-E-1-r2,2487698,2424506,0.975,14609,11904,0.815
20230816-E-2-r1,2282284,2233999,0.979,10185,8098,0.795
20230816-E-2-r2,2042165,1991067,0.975,11117,8911,0.802
20230816-E-3-r1,3625060,3507732,0.968,28027,23163,0.826
20230816-E-3-r2,2910395,2815453,0.967,40475,34672,0.857
20230816-E-4-r1,3260871,3192049,0.979,23593,18983,0.805
20230816-E-4-r2,3183228,3067831,0.964,19483,15574,0.799
20230816-J-1-r1,3060628,2934501,0.959,14981,11775,0.786
20230816-J-1-r2,2603489,2536011,0.974,18372,14977,0.815
20230816-J-2-r1,2955850,2870711,0.971,21468,17528,0.816
20230816-J-2-r2,2976108,2886076,0.97,26078,21396,0.82
20230816-J-3-r1,3367996,3233454,0.96,13861,10738,0.775
20230816-J-3-r2,2518370,2405883,0.955,14044,10851,0.773
20230816-J-4-r1,2905222,2809966,0.967,28570,23377,0.818
20230816-J-4-r2,2975218,2773495,0.932,28579,23451,0.821
20230816-JEE-1-r1,3883283,3717271,0.957,13666,10021,0.733
20230816-JEE-1-r2,2751536,2657265,0.966,15270,12010,0.787
20230816-JEE-2-r1,3440,848,0.247,53,17,0.321
20230816-JEE-2-r2,1,1,1,1,1,1
20230816-JEE-3-r1,1052686,1013966,0.963,7184,5733,0.798
20230816-JEE-3-r2,2254544,2175618,0.965,11923,8999,0.755
20230816-JEE-4-r1,2689434,2583257,0.961,28616,24131,0.843
20230816-JEE-4-r2,2655737,2574136,0.969,24233,20140,0.831
20230816-JEJ-1-r1,3314046,3233484,0.976,13963,10837,0.776
20230816-JEJ-1-r2,2775995,2717886,0.979,13164,10160,0.772
20230816-JEJ-2-r1,2852344,2772688,0.972,17140,13622,0.795
20230816-JEJ-2-r2,2028200,1925406,0.949,14198,11205,0.789
20230816-JEJ-3-r1,250706,245279,0.978,2355,2078,0.882
20230816-JEJ-3-r2,599318,581247,0.97,5785,4980,0.861
20230816-JEJ-4-r1,4247541,4100322,0.965,81973,69979,0.854
20230816-JEJ-4-r2,2939666,2847878,0.969,70235,60718,0.864
20230831-E-1-r1,2257960,2214163,0.981,9361,7403,0.791
20230831-E-1-r2,2766818,2696115,0.974,15076,12303,0.816
20230831-E-2-r1,2468663,2416997,0.979,10109,8062,0.798
20230831-E-2-r2,2308882,2251748,0.975,10945,8973,0.82
20230831-E-3-r1,3931918,3806978,0.968,28375,23449,0.826
20230831-E-3-r2,3144374,3044188,0.968,40578,34990,0.862
20230831-E-4-r1,3580778,3507525,0.98,22729,18561,0.817
20230831-E-4-r2,3576645,3455455,0.966,19450,15601,0.802
20230831-J-1-r1,3355796,3213532,0.958,15183,11983,0.789
20230831-J-1-r2,2795890,2724900,0.975,18466,15201,0.823
20230831-J-2-r1,3341617,3243844,0.971,22278,18151,0.815
20230831-J-2-r2,3257252,3160232,0.97,26496,21841,0.824
20230831-J-3-r1,3786116,3639959,0.961,14056,10988,0.782
20230831-J-3-r2,3000526,2874200,0.958,14518,11305,0.779
20230831-J-4-r1,3209544,3105388,0.968,29362,24027,0.818
20230831-J-4-r2,3355980,3134075,0.934,29555,24102,0.815
20230831-JEE-1-r1,4203389,4023939,0.957,13703,10185,0.743
20230831-JEE-1-r2,2996997,2897530,0.967,15754,12501,0.794
20230831-JEE-2-r1,3815,927,0.243,67,14,0.209
20230831-JEE-2-r2,1,1,1,1,1,1
20230831-JEE-3-r1,1293983,1249063,0.965,7672,6140,0.8
20230831-JEE-3-r2,2591911,2504729,0.966,12184,9373,0.769
20230831-JEE-4-r1,3014440,2900180,0.962,29281,24772,0.846
20230831-JEE-4-r2,2922958,2835013,0.97,24331,20238,0.832
20230831-JEJ-1-r1,3738549,3649506,0.976,14438,11352,0.786
20230831-JEJ-1-r2,3032868,2970955,0.98,13010,10087,0.775
20230831-JEJ-2-r1,3056139,2974022,0.973,16928,13457,0.795
20230831-JEJ-2-r2,2335421,2211516,0.947,14813,11638,0.786
20230831-JEJ-3-r1,266811,261323,0.979,2355,2094,0.889
20230831-JEJ-3-r2,684994,664449,0.97,5922,5127,0.866
20230831-JEJ-4-r1,4483460,4331127,0.966,82380,70598,0.857
20230831-JEJ-4-r2,3228734,3124278,0.968,70862,61340,0.866
