OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu9,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9600,Bacteroidales,0.9600,Dysgonomonadaceae,0.5200,Dysgonomonas,0.5200
Otu10,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9800,Bacteroidales,0.9800,Muribaculaceae,0.4900,Duncaniella,0.4900
Otu3,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9700,Paramuribaculum,0.9700
Otu6,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Porphyromonadaceae,0.6100,Porphyromonas,0.4400
Otu2,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9900,Duncaniella,0.9900
Otu4,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9700,Bacteroidales,0.9700,Porphyromonadaceae,0.4400,Porphyromonas,0.3400
Otu8,Bacteria,1.0000,Verrucomicrobia,1.0000,Verrucomicrobiae,1.0000,Verrucomicrobiales,1.0000,Akkermansiaceae,1.0000,Akkermansia,1.0000
Otu7,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Faecalibaculum,0.9900
Otu5,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,0.5300,Erysipelotrichales,0.5300,Erysipelotrichaceae,0.5300,Turicibacter,0.5100
Otu1,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Lactobacillus,0.9900
Otu11,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9800,Muribaculum,0.9800
Otu12,Bacteria,1.0000,Firmicutes,0.6500,Clostridia,0.6500,Clostridiales,0.6500,Lachnospiraceae,0.3400,Spiroplasma,0.1900
Otu18,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Prevotellaceae,1.0000,Prevotella,1.0000
Otu16,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.9900,Duncaniella,0.9900
Otu13,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9900,Bacteroidales,0.9900,Muribaculaceae,0.3500,Muribaculum,0.1800
Otu14,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9100,Bacteroidales,0.9100,Dysgonomonadaceae,0.5100,Dysgonomonas,0.5100
Otu17,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9700,Harryflintia,0.4800
Otu20,Bacteria,1.0000,Firmicutes,0.9400,Clostridia,0.9400,Clostridiales,0.9400,Ruminococcaceae,0.9400,Sporobacter,0.4400
Otu19,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.8800,Bacteroidales,0.8800,Dysgonomonadaceae,0.2300,Dysgonomonas,0.2300
Otu15,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Lactobacillus,0.9900
Otu21,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9900,Bacteroidales,0.9900,Porphyromonadaceae,0.6600,Porphyromonas,0.6600
Otu25,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Dysgonomonadaceae,0.7500,Dysgonomonas,0.7500
Otu23,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Tepidibaculum,0.9700
Otu26,Bacteria,1.0000,Tenericutes,0.5200,Mollicutes,0.5200,Acholeplasmatales,0.5100,Acholeplasmataceae,0.5100,Acholeplasma,0.5100
Otu27,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lachnospiracea_incertae_sedis,0.3100
Otu22,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Clostridiaceae_1,1.0000,Clostridium_sensu_stricto,1.0000
Otu24,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Ligilactobacillus,1.0000
Otu28,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9900,Bacteroidales,0.9900,Dysgonomonadaceae,0.8300,Dysgonomonas,0.8200
Otu29,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9800,Bacteroidales,0.9800,Porphyromonadaceae,0.6900,Porphyromonas,0.6900
Otu30,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9800,Enterocloster,0.5300
Otu31,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Muribaculaceae,0.6900,Duncaniella,0.6900
Otu33,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.9700,Howardella,0.2600
Otu32,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9900,Bacteroidales,0.9900,Bacteroidaceae,0.9900,Bacteroides,0.9900
Otu35,Bacteria,1.0000,Firmicutes,0.5100,Clostridia,0.4400,Clostridiales,0.4200,Lachnospiraceae,0.2500,Acholeplasma,0.1900
Otu34,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9900,Clostridiales,0.9900,Eubacteriaceae,0.5600,Eubacterium,0.5600
Otu37,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Bacteroidaceae,1.0000,Bacteroides,1.0000
Otu39,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9600,Bacteroidales,0.9600,Muribaculaceae,0.6800,Muribaculum,0.6700
Otu40,Bacteria,1.0000,Firmicutes,0.6100,Clostridia,0.6100,Clostridiales,0.5300,Lachnospiraceae,0.4100,Anaerostipes,0.2400
Otu38,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.8800,Bacteroidales,0.8800,Porphyromonadaceae,0.3700,Dysgonomonas,0.3400
Otu36,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Limosilactobacillus,1.0000
Otu43,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Eisenbergiella,0.8600
Otu42,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Coprococcus,0.2600
Otu45,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.6900,Enterocloster,0.3400
Otu41,Bacteria,1.0000,Firmicutes,0.5500,Clostridia,0.5300,Clostridiales,0.5300,Clostridiaceae_1,0.5100,Clostridium_sensu_stricto,0.5100
Otu44,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Hespellia,0.7500
Otu47,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Butyrivibrio,0.2600
Otu46,Bacteria,1.0000,Firmicutes,0.7500,Clostridia,0.6600,Clostridiales,0.5900,Lachnospiraceae,0.2800,Anaerostipes,0.1800
Otu49,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9600,Anaerotignum,0.9400
Otu48,Bacteria,1.0000,Firmicutes,0.9800,Clostridia,0.9800,Clostridiales,0.9600,Ruminococcaceae,0.9600,Ruminococcus,0.8500
Otu50,Bacteria,1.0000,Firmicutes,0.6400,Clostridia,0.6400,Clostridiales,0.6400,Ruminococcaceae,0.4000,Agathobaculum,0.2700
Otu53,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Syntrophococcus,0.3300
Otu51,Bacteria,1.0000,Firmicutes,0.5300,Clostridia,0.4700,Clostridiales,0.4500,Lachnospiraceae,0.3100,Acholeplasma,0.2100
Otu52,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9800,Bacteroidales,0.9800,Dysgonomonadaceae,0.5000,Dysgonomonas,0.5000
Otu54,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Acetatifactor,0.8900
