HammingDistance,BarcodeReadCounts,BarcodeParticleCounts,ProportionofBarcodesByParticles,ProportionofBarcodesByReads,BarcodeSet
0,76468635,600038,0.702618140685689,0.96200266942579,Barcode 1
1,1311161,185085,0.216726404942371,0.0164948724669531,Barcode 1
2,369432,24414,0.0285877215888,0.00464758616616223,Barcode 1
3,1001697,33267,0.0389541957112563,0.0126017051037436,Barcode 1
4,289812,10036,0.0117517151579093,0.00364593820239667,Barcode 1
5,48266,1161,0.00135948000182669,0.0006072034742415,Barcode 1
6,2,2,2.3419121478496e-06,2.51607124784113e-08,Barcode 1
0,74038111,594531,0.696169685586585,0.931425811657851,Barcode 2
1,5296147,229791,0.269075167183253,0.0666274159552004,Barcode 2
2,148811,27220,0.031873424332233,0.00187209539231243,Barcode 2
3,5865,2413,0.00282551700638054,7.37837893429412e-05,Barcode 2
4,71,48,5.62058915483904e-05,8.93205292983602e-07,Barcode 2
0,71263540,584173,0.684040922572872,0.896520720066882,Barcode 3
1,7400498,228622,0.267706319532835,0.093100901187529,Barcode 3
2,785005,36726,0.0430045327709622,0.00987564254955764,Barcode 3
3,39699,4433,0.00519084827570863,0.000499427562340226,Barcode 3
4,263,49,5.73768476223151e-05,3.30863369091109e-06,Barcode 3
