Distance,BarcodeRound,Sample,NumberParticlesDistance,NumberReadsDistance,SampleNumberParticles,SampleNumberReads,ProportionParticle,ProportionReads
0,Barcode1,20230816-E-1-r1,8093,1979621,12443,2036824,0.650405850679097,0.971915590154083
1,Barcode1,20230816-E-1-r1,3613,30098,12443,2036824,0.29036406011412,0.0147769272160972
2,Barcode1,20230816-E-1-r1,399,9319,12443,2036824,0.0320662219721932,0.0045752603072234
3,Barcode1,20230816-E-1-r1,219,10208,12443,2036824,0.0176002571727075,0.00501172413522229
4,Barcode1,20230816-E-1-r1,118,7577,12443,2036824,0.00948324359077393,0.00372000722693762
5,Barcode1,20230816-E-1-r1,1,1,12443,2036824,8.03664711082536e-05,4.9096043644419e-07
0,Barcode2,20230816-E-1-r1,7380,1804397,12443,2036824,0.593104556778912,0.885887538638586
1,Barcode2,20230816-E-1-r1,4252,226861,12443,2036824,0.341718235152294,0.111379775572165
2,Barcode2,20230816-E-1-r1,737,5426,12443,2036824,0.0592300892067829,0.00266395132814617
3,Barcode2,20230816-E-1-r1,73,139,12443,2036824,0.00586675239090252,6.82435006657424e-05
4,Barcode2,20230816-E-1-r1,1,1,12443,2036824,8.03664711082536e-05,4.9096043644419e-07
0,Barcode3,20230816-E-1-r1,7298,1826690,12443,2036824,0.586514506148035,0.896832519648237
1,Barcode3,20230816-E-1-r1,4153,203198,12443,2036824,0.333761954512577,0.0997621787645864
2,Barcode3,20230816-E-1-r1,857,6798,12443,2036824,0.0688740657397734,0.0033375490469476
3,Barcode3,20230816-E-1-r1,133,136,12443,2036824,0.0106887406573977,6.67706193564098e-05
4,Barcode3,20230816-E-1-r1,2,2,12443,2036824,0.000160732942216507,9.81920872888379e-07
0,Barcode1,20230816-E-1-r2,10787,2384733,16909,2487516,0.637944290023065,0.958680466778907
1,Barcode1,20230816-E-1-r2,4940,62757,16909,2487516,0.292152108344669,0.0252287824480325
2,Barcode1,20230816-E-1-r2,627,12061,16909,2487516,0.0370808445206695,0.00484861202902816
3,Barcode1,20230816-E-1-r2,419,20230,16909,2487516,0.0247797031166834,0.00813261100632117
4,Barcode1,20230816-E-1-r2,130,7316,16909,2487516,0.00768821337749128,0.00294108661009618
5,Barcode1,20230816-E-1-r2,6,419,16909,2487516,0.000354840617422674,0.000168441127614858
0,Barcode2,20230816-E-1-r2,10473,2299019,16909,2487516,0.619374297711278,0.924222798968931
1,Barcode2,20230816-E-1-r2,5425,178415,16909,2487516,0.320835058253001,0.0717241617742358
2,Barcode2,20230816-E-1-r2,895,9965,16909,2487516,0.0529303920988823,0.00400600438348939
3,Barcode2,20230816-E-1-r2,113,114,16909,2487516,0.00668283162812703,4.58288509501044e-05
4,Barcode2,20230816-E-1-r2,3,3,16909,2487516,0.000177420308711337,1.2060223934238e-06
0,Barcode3,20230816-E-1-r2,10747,2371504,16909,2487516,0.635578685906913,0.953362310031373
1,Barcode3,20230816-E-1-r2,5286,102687,16909,2487516,0.312614583949376,0.0412809405045033
2,Barcode3,20230816-E-1-r2,792,13058,16909,2487516,0.046838961499793,0.00524941347110933
3,Barcode3,20230816-E-1-r2,81,264,16909,2487516,0.0047903483352061,0.000106129970621295
4,Barcode3,20230816-E-1-r2,3,3,16909,2487516,0.000177420308711337,1.2060223934238e-06
0,Barcode1,20230816-E-2-r1,6949,2212288,11247,2282284,0.617853649862186,0.969330723082666
1,Barcode1,20230816-E-2-r1,3335,37697,11247,2282284,0.296523517382413,0.0165172257265091
2,Barcode1,20230816-E-2-r1,496,7619,11247,2282284,0.0441006490619721,0.00333832248747308
3,Barcode1,20230816-E-2-r1,374,19665,11247,2282284,0.0332533119943096,0.00861636851504896
4,Barcode1,20230816-E-2-r1,86,4894,11247,2282284,0.0076464835067129,0.00214434312294175
5,Barcode1,20230816-E-2-r1,7,121,11247,2282284,0.000622388192406864,5.30170653608403e-05
0,Barcode2,20230816-E-2-r1,6853,2163606,11247,2282284,0.60931804036632,0.94800033650501
1,Barcode2,20230816-E-2-r1,3624,105390,11247,2282284,0.322219258468925,0.0461774257717269
2,Barcode2,20230816-E-2-r1,673,13189,11247,2282284,0.0598381790699742,0.00577886012433159
3,Barcode2,20230816-E-2-r1,96,98,11247,2282284,0.00853560949586556,4.2939441366631e-05
4,Barcode2,20230816-E-2-r1,1,1,11247,2282284,8.89125989152663e-05,4.38157564965622e-07
0,Barcode3,20230816-E-2-r1,6915,2049395,11247,2282284,0.614830621499066,0.897957922852721
1,Barcode3,20230816-E-2-r1,3632,229658,11247,2282284,0.322930559260247,0.100626390054875
2,Barcode3,20230816-E-2-r1,615,3035,11247,2282284,0.0546812483328888,0.00132980820967066
3,Barcode3,20230816-E-2-r1,84,195,11247,2282284,0.00746865830888237,8.54407251682963e-05
4,Barcode3,20230816-E-2-r1,1,1,11247,2282284,8.89125989152663e-05,4.38157564965622e-07
0,Barcode1,20230816-E-2-r2,8203,1957779,13086,2042157,0.62685312547761,0.958681923084268
1,Barcode1,20230816-E-2-r2,3750,38787,13086,2042157,0.286565795506648,0.0189931528281126
2,Barcode1,20230816-E-2-r2,523,11860,13086,2042157,0.0399663762799939,0.00580758482330203
3,Barcode1,20230816-E-2-r2,515,29509,13086,2042157,0.0393550359162464,0.0144499174157521
4,Barcode1,20230816-E-2-r2,94,4221,13086,2042157,0.00718324927403332,0.0020669321702494
5,Barcode1,20230816-E-2-r2,1,1,13086,2042157,7.64175454684396e-05,4.89678315624117e-07
0,Barcode2,20230816-E-2-r2,8486,1939976,13086,2042157,0.648479290845178,0.949964180031212
