Sample,ReadsPreCorrection,ReadsPostCorrection,ProportionReadsRemaining,NumberParticlesPreBCCorrection,NumberParticlesPostBCCorrection,ProportionParticlesRemaining
20230816-E-1-r1,2036824,1997720,0.981,9231,7190,0.779
20230816-E-1-r2,2487516,2424327,0.975,14607,11903,0.815
20230816-E-2-r1,2282284,2233999,0.979,10185,8098,0.795
20230816-E-2-r2,2042157,1991060,0.975,11118,8912,0.802
20230816-E-3-r1,3625001,3507673,0.968,28027,23163,0.826
20230816-E-3-r2,2910431,2815489,0.967,40478,34675,0.857
20230816-E-4-r1,3260856,3192034,0.979,23593,18983,0.805
20230816-E-4-r2,3183223,3067825,0.964,19484,15574,0.799
20230816-J-1-r1,3060521,2934394,0.959,14982,11776,0.786
20230816-J-1-r2,2603484,2536006,0.974,18370,14975,0.815
20230816-J-2-r1,2955832,2870693,0.971,21469,17528,0.816
20230816-J-2-r2,2975986,2885955,0.97,26078,21396,0.82
20230816-J-3-r1,3367997,3233454,0.96,13862,10738,0.775
20230816-J-3-r2,2518286,2405799,0.955,14043,10850,0.773
20230816-J-4-r1,2905087,2809848,0.967,28570,23377,0.818
20230816-J-4-r2,2974702,2773033,0.932,28577,23450,0.821
20230816-JEE-1-r1,3883282,3717270,0.957,13666,10021,0.733
20230816-JEE-1-r2,2751532,2657261,0.966,15270,12010,0.787
20230816-JEE-2-r1,3440,848,0.247,53,17,0.321
20230816-JEE-2-r2,1,1,1,1,1,1
20230816-JEE-3-r1,1053550,1014829,0.963,7187,5735,0.798
20230816-JEE-3-r2,2254541,2175615,0.965,11923,8999,0.755
20230816-JEE-4-r1,2689386,2583209,0.961,28614,24129,0.843
20230816-JEE-4-r2,2655764,2574169,0.969,24234,20141,0.831
20230816-JEJ-1-r1,3314040,3233478,0.976,13963,10837,0.776
20230816-JEJ-1-r2,2775966,2717857,0.979,13164,10160,0.772
20230816-JEJ-2-r1,2852189,2772534,0.972,17138,13621,0.795
20230816-JEJ-2-r2,2028198,1925404,0.949,14198,11205,0.789
20230816-JEJ-3-r1,250706,245279,0.978,2355,2078,0.882
20230816-JEJ-3-r2,599318,581247,0.97,5785,4980,0.861
20230816-JEJ-4-r1,4247433,4100217,0.965,81969,69976,0.854
20230816-JEJ-4-r2,2939472,2847686,0.969,70233,60717,0.865
