mouse_type,mouse_num,mark,norm_cage,tx_cage,day,sample
jax,J1,none,J1,JC1,0,MaPS_001
jax,J2,black,J1,JC1,0,MaPS_002
jax,J3,none,J1,JE1,0,MaPS_003
jax,J4,none,J1,JE2,0,MaPS_004
jax,J5,none,J2,JC2,0,MaPS_005
jax,J6,black,J2,JC2,0,MaPS_006
jax,J7,none,J2,JE3,0,MaPS_007
jax,J8,none,J2,JE4,0,MaPS_008
envigo,E1,none,E1,EC1,0,MaPS_009
envigo,E2,black,E1,EC1,0,MaPS_010
envigo,E3,black,E1,JE1,0,MaPS_011
envigo,E4,black,E1,JE2,0,MaPS_012
envigo,E5,none,E2,EC2,0,MaPS_013
envigo,E6,black,E2,EC2,0,MaPS_014
envigo,E7,black,E2,JE3,0,MaPS_015
envigo,E8,black,E2,JE4,0,MaPS_016
jax,J1,none,J1,JC1,5,MaPS_017
jax,J2,black,J1,JC1,5,MaPS_018
jax,J3,none,J1,JE1,5,MaPS_019
jax,J4,none,J1,JE2,5,MaPS_020
jax,J5,none,J2,JC2,5,MaPS_021
jax,J6,black,J2,JC2,5,MaPS_022
jax,J7,none,J2,JE3,5,MaPS_023
jax,J8,none,J2,JE4,5,MaPS_024
envigo,E1,none,E1,EC1,5,MaPS_025
envigo,E2,black,E1,EC1,5,MaPS_026
envigo,E3,black,E1,JE1,5,MaPS_027
envigo,E4,black,E1,JE2,5,MaPS_028
envigo,E5,none,E2,EC2,5,MaPS_029
envigo,E6,black,E2,EC2,5,MaPS_030
envigo,E7,black,E2,JE3,5,MaPS_031
envigo,E8,black,E2,JE4,5,MaPS_032
jax,J1,none,J1,JC1,32,MaPS_033
jax,J2,black,J1,JC1,32,MaPS_034
jax,J3,none,J1,JE1,32,MaPS_035
jax,J4,none,J1,JE2,32,MaPS_036
jax,J5,none,J2,JC2,32,MaPS_037
jax,J6,black,J2,JC2,32,MaPS_038
jax,J7,none,J2,JE3,32,MaPS_039
jax,J8,none,J2,JE4,32,MaPS_040
envigo,E1,none,E1,EC1,32,MaPS_041
envigo,E2,black,E1,EC1,32,MaPS_042
envigo,E3,black,E1,JE1,32,MaPS_043
envigo,E4,black,E1,JE2,32,MaPS_044
envigo,E5,none,E2,EC2,32,MaPS_045
envigo,E6,black,E2,EC2,32,MaPS_046
envigo,E7,black,E2,JE3,32,MaPS_047
envigo,E8,black,E2,JE4,32,MaPS_048
