"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1",1,1,"Otu1","Otu10",0.938699561496339,0.00427318757405473,0.939045224058837,0.960172744721689,-5.02509727298824,0.00000050318,0.00000938,"E",123754,565708,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu10_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu10","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"2",2,2,"Otu1","Otu103",0.99852903952824,0.000620987980243673,0.99834528405957,1,-2.36874226000765,0.017849,0.109,"E",1496,565708,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu103_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu103","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"3",3,3,"Otu1","Otu107",0.993294003800942,0.00141492201431681,0.992892290869328,1,-4.73948113832686,0.0000021427,0.0000343,"E",8403,565708,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu107_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu107","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"4",4,4,"Otu1","Otu108",0.998601729601119,0.000750560578071965,0.998896856039713,1,-1.8629680797689,0.062467,0.276,"E",635,565708,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu108_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu108","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"5",5,5,"Otu1","Otu11",0.91794580120435,0.00428530282159781,0.917641553579785,0.898571428571429,4.52112101279631,0.0000061513,0.0000906,"E",166569,565708,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu11","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"6",6,6,"Otu1","Otu112",0.998125647403658,0.000828056584410595,0.998347107438017,0.998898678414097,-0.933548533991833,0.35054,0.75,"E",6816,565708,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu112","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"7",7,7,"Otu1","Otu114",0.993194977629036,0.00146272496964385,0.993453355155483,0.994550408719346,-0.926647947112345,0.35411,0.751,"E",6183,565708,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu114_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu114","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"8",8,8,"Otu1","Otu115",0.989076546400531,0.00187231081226015,0.989189189189189,0.998929336188437,-5.2623686854707,0.00000014221,0.0000029,"E",20323,565708,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu115_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu115","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"9",9,9,"Otu1","Otu117",0.994969403159461,0.00136599124845524,0.994787304313164,0.99781181619256,-2.08084278454454,0.037448,0.193,"E",25491,565708,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu117_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu117","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"10",10,10,"Otu1","Otu12",0.997392990932548,0.000982463645265274,0.997246696035242,0.998349834983498,-0.973923112129293,0.33009,0.735,"E",1964,565708,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu12_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu12","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
