"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1",1,1,"Otu1","Otu109",0.990131069250524,0.00175499340384544,0.990484821024014,0.994584837545126,-2.53776925021112,0.011156,0.0617,"J",18219,1366584,FALSE,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Otu109_Erysipelotrichales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu109","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"2",2,2,"Otu1","Otu118",0.996178810122059,0.00123944274167779,0.996103545704066,0.997711670480549,-1.23673349881003,0.21619,0.477,"J",11498,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu118_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu118","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"3",3,3,"Otu1","Otu12",0.914754506509035,0.00375991082641392,0.914922704435888,0.877831715210356,9.82012420063027,0.00000000000000000000009223,0.00000000000000000000786,"J",253025,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu12_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu12","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"4",4,4,"Otu1","Otu123",0.992665572817767,0.0016401788322318,0.992714025500911,0.993630573248408,-0.588350740588444,0.5563,0.725,"J",17252,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu123_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu123","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"5",5,5,"Otu1","Otu127",0.984003947649047,0.0019396647014944,0.984326018808777,0.999117387466902,-7.79177958242533,0.0000000000000066072,0.000000000000296,"J",36262,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu127_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu127","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"6",6,6,"Otu1","Otu130",0.996897094934562,0.000843067256556124,0.996790463090325,0.996790463090325,0.126480827487147,0.89935,0.929,"J",3907,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu130_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu130","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"7",7,7,"Otu1","Otu131",0.990226954870558,0.00177912751718345,0.990717629952566,0.997300944669366,-3.97610049335114,0.000070055,0.00077,"J",29590,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu131_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu131","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"8",8,8,"Otu1","Otu136",0.991377298858961,0.00130054215906112,0.991821899136756,0.989986345015931,1.06951845685182,0.28484,0.541,"J",15049,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu136_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu136","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"9",9,9,"Otu1","Otu138",0.990667414285978,0.00174004212156679,0.990471869328494,0.99366802351877,-1.72444631977653,0.084627,0.265,"J",14909,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu138_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu138","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"10",10,10,"Otu1","Otu139",0.990722627053367,0.00140342292618863,0.990480507706256,0.993218806509946,-1.77863665328457,0.075299,0.243,"J",22392,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu139_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu139","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
