"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1",1,1,"Otu1","Otu10",0.978234017720758,0.00681041529934849,0.978339350180505,0.985663082437276,-1.09083872127868,0.27534,0.703,"JEE",106555,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu10_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu10","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"2",2,2,"Otu1","Otu100",0.996007475365274,0.00626917744943271,1,0.962264150943396,5.38241654412426,0.000000073492,0.00000184,"JEE",8164,35131,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu100_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu100","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"3",3,3,"Otu1","Otu103",0.999319727891156,0.00258885848675982,1,1,-0.262769136406139,0.79273,0.856,"JEE",10705,35131,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu103_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu103","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"4",4,4,"Otu1","Otu107",0.995976116303219,0.00582683068978031,1,1,-0.690578448390195,0.48983,0.823,"JEE",4552,35131,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu107_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu107","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"5",5,5,"Otu1","Otu11",0.977688484437127,0.00609155076050869,0.978658536585366,1,-3.66269878394798,0.00024957,0.00339,"JEE",60448,35131,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu11","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"6",6,6,"Otu1","Otu114",0.992489372489373,0.0092391039008067,0.995535714285714,1,-0.812917312248399,0.41627,0.802,"JEE",19244,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu114_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu114","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"7",7,7,"Otu1","Otu121",0.995597148399123,0.00816037906407804,1,1,-0.539540083408373,0.58951,0.837,"JEE",9490,35131,FALSE,"Proteobacteria","Gammaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Otu121_Desulfovibrionales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu121","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"8",8,8,"Otu1","Otu13",0.975709831656058,0.00671091339942595,0.973805855161787,0.978527607361963,-0.419879610746554,0.67457,0.85,"JEE",122615,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu13","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"9",9,9,"Otu1","Otu131",0.990485630150321,0.00989155236680763,0.991935483870968,1,-0.961868218137858,0.33612,0.761,"JEE",2843,35131,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu131_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu131","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"10",10,10,"Otu1","Otu132",0.986405819006223,0.0116224869379241,0.986301369863014,1,-1.16964476418722,0.24214,0.672,"JEE",9319,35131,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu132_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu132","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"11",11,11,"Otu1","Otu136",0.997689768976898,0.00425923828863442,1,1,-0.542404736843931,0.58754,0.837,"JEE",2862,35131,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu136_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu136","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"12",12,12,"Otu1","Otu139",0.993861139426889,0.00656844554727948,0.990825688073395,1,-0.934598685324247,0.35,0.764,"JEE",14370,35131,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu139_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu139","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"13",13,13,"Otu1","Otu14",0.983443186450479,0.00720462964795358,0.98134328358209,1,-2.29807975684417,0.021557,0.142,"JEE",55143,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Otu14_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu14","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"14",14,14,"Otu1","Otu15",0.990371695709211,0.00712735716723567,0.992647058823529,0.985185185185185,0.727690559393886,0.4668,0.812,"JEE",13976,35131,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu15_Lactobacillales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu15","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"15",15,15,"Otu1","Otu150",0.99859649122807,0.00363943056465012,1,1,-0.385639661754277,0.69976,0.85,"JEE",511,35131,FALSE,"Firmicutes","Thermotogae","Thermotogales","Thermotogaceae","Otu150_Thermotogales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu150","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"16",16,16,"Otu1","Otu16",0.990628524408002,0.0086774612302727,0.991803278688525,0.991803278688525,-0.135379951502899,0.89231,0.904,"JEE",10994,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu16_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu16","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"17",17,17,"Otu1","Otu18",0.977219925743339,0.0074704815795231,0.976588628762542,1,-3.04934481320488,0.0022934,0.0231,"JEE",67533,35131,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Otu18_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu18","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"18",18,18,"Otu1","Otu19",0.991040246885448,0.00780513326518847,0.992592592592593,1,-1.14793083092032,0.251,0.682,"JEE",15061,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Otu19_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu19","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"19",19,19,"Otu1","Otu2",0.97502852246695,0.0036225259540944,0.975460122699387,0.98685540950455,-3.26481775078321,0.0010953,0.0126,"JEE",301623,35131,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu2_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu2","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"20",20,20,"Otu1","Otu21",0.980558884553278,0.00775166627755995,0.981193604189069,1,-2.50799179822814,0.012142,0.0952,"JEE",50710,35131,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Otu21_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu21","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"21",21,21,"Otu1","Otu24",0.987404510861966,0.00790924576547408,0.988439306358382,0.994252873563218,-0.865867985939556,0.38656,0.786,"JEE",25401,35131,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu24_Lactobacillales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu24","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
