"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"1",1,1,"Otu1","Otu10",0.886853990825069,0.00877746304737265,0.886818495514148,0.894448252227553,-0.865200042597419,0.38693,0.549,"JEJ",247894,289944,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu10_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu10","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"2",2,2,"Otu1","Otu107",0.996286297559793,0.00218465381936639,0.996629213483146,0.995500562429696,0.359661161476245,0.7191,0.799,"JEJ",2585,289944,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu107_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu107","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","unchanged","depleted"
"3",3,3,"Otu1","Otu109",0.982001228135198,0.00404197083977841,0.982887700534759,0.981798715203426,0.0501025217151176,0.96004,0.969,"JEJ",16928,289944,FALSE,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Otu109_Erysipelotrichales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu109","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"4",4,4,"Otu1","Otu11",0.912903098788086,0.00506897060569543,0.912337662337662,0.934817170111288,-4.32317979878986,0.00001538,0.000171,"JEJ",67109,289944,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu11","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"5",5,5,"Otu1","Otu13",0.860302890324417,0.007351113601487,0.85934480760512,0.86775956284153,-1.01435958160203,0.31041,0.479,"JEJ",353184,289944,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu13","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"6",6,6,"Otu1","Otu14",0.932223404701983,0.00824465794027709,0.933682373472949,0.955555555555556,-2.82997196761672,0.0046552,0.0219,"JEJ",97824,289944,TRUE,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Otu14_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu14","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"7",7,7,"Otu1","Otu143",0.998827647805473,0.000868581727634016,0.998866213151927,0.997729852440409,1.26389415081879,0.20627,0.363,"JEJ",173,289944,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu143_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu143","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"8",8,8,"Otu1","Otu15",0.977257161946545,0.00405957243305633,0.97691500524659,0.974763406940063,0.614290063203595,0.53902,0.672,"JEJ",68657,289944,FALSE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu15_Lactobacillales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu15","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"9",9,9,"Otu1","Otu16",0.891283832660247,0.00777302270898845,0.892045454545455,0.895966029723992,-0.602365030830308,0.54693,0.677,"JEJ",119113,289944,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu16_Bacteroidales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#377EB8'>Otu16","<b style='color:#828382'>Otu1","Donor Taxa","Shared Taxa","enriched","depleted"
"10",10,10,"Otu1","Otu17",0.971718086998956,0.00450756465688887,0.970932929746822,0.985929648241206,-3.15282471223799,0.001617,0.00943,"JEJ",21758,289944,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu17_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu17","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
