,id,sample_id,abundance,abundance_normalized,domain,phylum,class,order,family,genus,species
0,AZC3J_1,sample_1,120151,54780.00995714588,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris
1,AZC3J_1,sample_5,58603,26718.65339047216,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris
2,AZC3J_1,sample_9,125778,57345.5076727609,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris
3,AZC3J_1,sample_15,103260,47078.95754654463,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris
4,AZC3J_2,sample_1,3669,2415.8655568761915,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,
5,AZC3J_2,sample_5,1804,1187.8499494697871,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,
6,AZC3J_2,sample_9,1575,1037.0641188552743,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,
7,AZC3J_2,sample_15,1031,678.8654644697066,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,
8,AZC3J_3,sample_1,26032,23756.737536287274,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
9,AZC3J_3,sample_5,78233,71395.23846328988,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
10,AZC3J_3,sample_9,53239,48585.77710872764,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
11,AZC3J_3,sample_15,87552,79899.73435683094,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
12,AZC3J_4,sample_1,854,1270.3562520813762,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,
13,AZC3J_4,sample_5,3787,5633.301085049382,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,
14,AZC3J_4,sample_9,1936,2879.870847809771,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,
15,AZC3J_4,sample_15,6750,10040.872015865678,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,
16,AZC3J_5,sample_1,8675,7001.972307327177,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
17,AZC3J_5,sample_5,1735,1400.3944614654354,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
18,AZC3J_5,sample_9,2183,1761.9948757227926,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
19,AZC3J_5,sample_15,5873,4740.355430655045,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
20,AZC3J_6,sample_1,132,106.55757194676376,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
21,AZC3J_6,sample_5,238,192.12653123734677,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
22,AZC3J_6,sample_9,60,48.435259975801706,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
23,AZC3J_6,sample_15,170,137.23323659810484,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,
24,AZC3J_7,sample_1,12780,14766.515146705422,Bacteria,Firmicutes_B,Dehalobacteriia,UBA4068,UBA5755,,
25,AZC3J_7,sample_5,6328,7311.620332421902,Bacteria,Firmicutes_B,Dehalobacteriia,UBA4068,UBA5755,,
