index,score,group,family,module_category,module,percentage
0,23.45,AZC3J,Bacteroidaceae,Amino acid metabolism,M00022,0.014209591474245116
1,23.45,AZC3J,Bacteroidaceae,Lipid metabolism,M00082,0.020959147424511545
2,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00120,0.030905861456483125
3,23.45,AZC3J,Bacteroidaceae,Energy metabolism,M00166,0.035879218472468916
4,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00899,0.04049733570159858
5,23.45,AZC3J,Bacteroidaceae,Energy metabolism,M00345,0.045115452930728245
6,23.45,AZC3J,Bacteroidaceae,Nucleotide metabolism,M00051,0.06465364120781528
7,23.45,AZC3J,Bacteroidaceae,Carbohydrate metabolism,M00003,0.07708703374777975
8,23.45,AZC3J,Bacteroidaceae,Nucleotide metabolism,M00048,0.10230905861456484
9,23.45,AZC3J,Bacteroidaceae,Carbohydrate metabolism,M00549,0.10905861456483126
10,23.45,AZC3J,Bacteroidaceae,Carbohydrate metabolism,M00855,0.11616341030195382
11,23.45,AZC3J,Bacteroidaceae,Energy metabolism,M00173,0.14813499111900533
12,23.45,AZC3J,Bacteroidaceae,Energy metabolism,M00169,0.15062166962699822
13,23.45,AZC3J,Bacteroidaceae,Amino acid metabolism,M00621,0.15950266429840143
14,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00115,0.16873889875666073
15,23.45,AZC3J,Bacteroidaceae,Nucleotide metabolism,M00052,0.17406749555950266
16,23.45,AZC3J,Bacteroidaceae,Biosynthesis of terpenoids and polyketides,M00793,0.1847246891651865
17,23.45,AZC3J,Bacteroidaceae,Gene set,M00627,0.1936056838365897
18,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00123,0.20461811722912968
19,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00577,0.20461811722912968
20,23.45,AZC3J,Bacteroidaceae,Carbohydrate metabolism,M00741,0.21314387211367672
21,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00119,0.22095914742451153
22,23.45,AZC3J,Bacteroidaceae,Carbohydrate metabolism,M00011,0.22095914742451153
23,23.45,AZC3J,Bacteroidaceae,Glycan metabolism,M00063,0.230550621669627
24,23.45,AZC3J,Bacteroidaceae,Energy metabolism,M00167,0.2344582593250444
25,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00950,0.2344582593250444
26,23.45,AZC3J,Bacteroidaceae,Metabolism of cofactors and vitamins,M00124,0.24014209591474245
27,23.45,AZC3J,Bacteroidaceae,Carbohydrate metabolism,M00552,0.24014209591474245
