genome,score,group,family
AZC3J_18,23.45,AZC3J,Bacteroidaceae
AZC3J_32,21.22,AZC3J,Muribaculaceae
AZC3J_62,22.18,AZC3J,Muribaculaceae
AZC3J_74,21.95,AZC3J,Muribaculaceae
AZC3J_76,20.87,AZC3J,Muribaculaceae
AZC3J_88,21.87,AZC3J,Muribaculaceae
AZC3J_89,21.9,AZC3J,Muribaculaceae
AZC5T_1,16.71,AZC5T,Muribaculaceae
AZC5T_101,21.48,AZC5T,Muribaculaceae
AZC5T_102,20.84,AZC5T,Muribaculaceae
AZC5T_106,18.45,AZC5T,Muribaculaceae
AZC5T_107,22.04,AZC5T,Muribaculaceae
AZC5T_109,19.28,AZC5T,Bacteroidaceae
AZC5T_12,20.98,AZC5T,Muribaculaceae
AZC5T_122,20.55,AZC5T,Muribaculaceae
AZC5T_123,21.98,AZC5T,Muribaculaceae
AZC5T_34,21.12,AZC5T,Muribaculaceae
AZC5T_37,23.35,AZC5T,Bacteroidaceae
AZC5T_49,21.93,AZC5T,Muribaculaceae
AZC5T_53,20.99,AZC5T,Muribaculaceae
AZC5T_58,21.7,AZC5T,Muribaculaceae
AZC5T_6,22.01,AZC5T,Muribaculaceae
AZC5T_61,22.2,AZC5T,Muribaculaceae
AZC5T_93,23.45,AZC5T,Bacteroidaceae
AZC5T_94,22.81,AZC5T,Bacteroidaceae
AZC5T_96,19.95,AZC5T,Muribaculaceae
AZC5T_97,22.38,AZC5T,Muribaculaceae
AZC7E_100,16.38,AZC7E,Muribaculaceae
AZC7E_101,20.22,AZC7E,Muribaculaceae
AZC7E_104,18.27,AZC7E,Muribaculaceae
AZC7E_109,22.18,AZC7E,Muribaculaceae
AZC7E_111,15.12,AZC7E,Muribaculaceae
AZC7E_113,18.45,AZC7E,Bacteroidaceae
AZC7E_12,22.55,AZC7E,Bacteroidaceae
AZC7E_17,20.67,AZC7E,Muribaculaceae
AZC7E_22,10.2,AZC7E,Muribaculaceae
AZC7E_23,22.38,AZC7E,Muribaculaceae
AZC7E_25,21.26,AZC7E,Muribaculaceae
AZC7E_26,20.08,AZC7E,Muribaculaceae
AZC7E_3,19.96,AZC7E,Muribaculaceae
AZC7E_32,19.9,AZC7E,Muribaculaceae
AZC7E_37,21.29,AZC7E,Muribaculaceae
AZC7E_38,18.86,AZC7E,Muribaculaceae
AZC7E_39,20.88,AZC7E,Muribaculaceae
AZC7E_4,15.54,AZC7E,Muribaculaceae
AZC7E_52,19.48,AZC7E,Muribaculaceae
AZC7E_54,20.95,AZC7E,Muribaculaceae
AZC7E_58,21.6,AZC7E,Muribaculaceae
AZC7E_6,17.36,AZC7E,Muribaculaceae
AZC7E_60,20.98,AZC7E,Muribaculaceae
AZC7E_61,21.2,AZC7E,Muribaculaceae
AZC7E_64,21.58,AZC7E,Muribaculaceae
AZC7E_68,20.96,AZC7E,Muribaculaceae
AZC7E_70,19.64,AZC7E,Muribaculaceae
AZC7E_71,21.32,AZC7E,Muribaculaceae
AZC7E_73,21.16,AZC7E,Bacteroidaceae
AZC7E_79,18.15,AZC7E,Muribaculaceae
AZC7E_81,21.22,AZC7E,Muribaculaceae
AZC7E_84,20.59,AZC7E,Muribaculaceae
AZC7E_88,19.65,AZC7E,Muribaculaceae
AZC7E_89,19.95,AZC7E,Muribaculaceae
AZC7E_94,21.76,AZC7E,Muribaculaceae
AZC7E_95,20.57,AZC7E,Muribaculaceae
AZC9C_25,22.61,AZC9C,Muribaculaceae
AZC9C_32,23.45,AZC9C,Bacteroidaceae
AZC9C_40,21.85,AZC9C,Muribaculaceae
AZC9C_46,15.85,AZC9C,Muribaculaceae
AZC9C_6,22.55,AZC9C,Muribaculaceae
AZC9C_68,22.38,AZC9C,Muribaculaceae
AZC9C_7,22.1,AZC9C,Muribaculaceae
AZC9C_75,22.54,AZC9C,Bacteroidaceae
AZC9C_88,22.18,AZC9C,Muribaculaceae
