id,score,group,family
AZC3J_18,20.16,AZC3J,Bacteroidaceae
AZC3J_32,19.09,AZC3J,Muribaculaceae
AZC3J_62,19.32,AZC3J,Muribaculaceae
AZC3J_76,19.07,AZC3J,Muribaculaceae
AZC3J_88,19.48,AZC3J,Muribaculaceae
AZC3J_89,19.62,AZC3J,Muribaculaceae
AZC7E_100,14.3,AZC7E,Muribaculaceae
AZC7E_101,18.54,AZC7E,Muribaculaceae
AZC7E_104,15.12,AZC7E,Muribaculaceae
AZC7E_109,19.32,AZC7E,Muribaculaceae
AZC7E_111,13.45,AZC7E,Muribaculaceae
AZC7E_113,18.8,AZC7E,Bacteroidaceae
AZC7E_12,19.76,AZC7E,Bacteroidaceae
AZC7E_17,18.53,AZC7E,Muribaculaceae
AZC7E_22,8.98,AZC7E,Muribaculaceae
AZC7E_23,19.43,AZC7E,Muribaculaceae
AZC7E_25,18.82,AZC7E,Muribaculaceae
AZC7E_26,19.18,AZC7E,Muribaculaceae
AZC7E_3,17.61,AZC7E,Muribaculaceae
AZC7E_32,17.84,AZC7E,Muribaculaceae
AZC7E_37,18.52,AZC7E,Muribaculaceae
AZC7E_38,16.56,AZC7E,Muribaculaceae
AZC7E_39,18.1,AZC7E,Muribaculaceae
AZC7E_4,12.14,AZC7E,Muribaculaceae
AZC7E_52,16.62,AZC7E,Muribaculaceae
AZC7E_54,17.2,AZC7E,Muribaculaceae
AZC7E_58,19.1,AZC7E,Muribaculaceae
AZC7E_6,14.35,AZC7E,Muribaculaceae
AZC7E_60,19.12,AZC7E,Muribaculaceae
AZC7E_61,18.86,AZC7E,Muribaculaceae
AZC7E_64,18.58,AZC7E,Muribaculaceae
AZC7E_68,18.8,AZC7E,Muribaculaceae
AZC7E_70,17.05,AZC7E,Muribaculaceae
AZC7E_71,18.51,AZC7E,Muribaculaceae
AZC7E_73,18.77,AZC7E,Bacteroidaceae
AZC7E_79,15.96,AZC7E,Muribaculaceae
AZC7E_81,19.09,AZC7E,Muribaculaceae
AZC7E_84,18.2,AZC7E,Muribaculaceae
AZC7E_88,17.09,AZC7E,Muribaculaceae
AZC7E_89,17.34,AZC7E,Muribaculaceae
AZC7E_90,19.03,AZC7E,Muribaculaceae
AZC7E_94,18.95,AZC7E,Muribaculaceae
AZC7E_95,17.64,AZC7E,Muribaculaceae
