compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id,group,family
AZC3J_25,0.0078838350176638,0.0934028350606341,957,681,AZC3J_25,0.7,sample_1,AZC3J,CAG-307
AZC3J_32,0.006178715673769388,0.07322248792507774,2306,1369,AZC3J_32,0.7,sample_1,AZC3J,Muribaculaceae
AZC3J_34,0.02260871262308311,0.26783191383108973,2594,1454,AZC3J_34,0.7,sample_1,AZC3J,Lachnospiraceae
AZC3J_58,0.007910513581927228,0.09371962623524766,1204,809,AZC3J_58,0.7,sample_1,AZC3J,Lachnospiraceae
AZC3J_60,0.0071408002172799094,0.08460759571471094,2022,1228,AZC3J_60,0.7,sample_1,AZC3J,DTU089
AZC3J_64,0.008718864301181028,0.10328656525589797,1280,858,AZC3J_64,0.7,sample_1,AZC3J,Ruminococcaceae
AZC3J_74,0.012804419963812142,0.15177444249052527,2306,1369,AZC3J_74,0.7,sample_1,AZC3J,Muribaculaceae
AZC3J_82,0.03640563814608823,0.43127645946871956,2400,1412,AZC3J_82,0.7,sample_1,AZC3J,Lachnospiraceae
AZC3J_87,0.010213952499543696,0.12110748013677393,2271,1361,AZC3J_87,0.7,sample_1,AZC3J,Rikenellaceae
AZC7E_101,0.023606982771969213,0.279690872035892,1665,1100,AZC7E_101,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_104,0.07753582508491727,0.9185230346432068,1603,1004,AZC7E_104,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_107,0.006736165416170891,0.07981177540174973,2022,1228,AZC7E_107,0.7,sample_1,AZC7E,DTU089
AZC7E_109,0.007398800799325661,0.08773308921289144,2596,1495,AZC7E_109,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_111,0.012151778005649061,0.14409425227261008,2596,1495,AZC7E_111,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_113,0.11660152856948534,1.3813128165051378,1578,1079,AZC7E_113,0.7,sample_1,AZC7E,Bacteroidaceae
AZC7E_116,0.022845415170218337,0.2706359978701323,1229,858,AZC7E_116,0.7,sample_1,AZC7E,CAG-239
AZC7E_12,0.012740834337355117,0.15107949722901057,2325,1385,AZC7E_12,0.7,sample_1,AZC7E,Bacteroidaceae
AZC7E_17,0.01082374314777149,0.12826193048825862,2528,1429,AZC7E_17,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_2,0.016766332890356773,0.19862083761050905,1356,912,AZC7E_2,0.7,sample_1,AZC7E,UBA932
AZC7E_23,0.05918792264109129,0.7011655829469655,1960,1220,AZC7E_23,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_25,0.01583348035551065,0.1876034156238894,2306,1369,AZC7E_25,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_26,0.010506874232047127,0.1244925888990971,1665,1100,AZC7E_26,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_3,0.04605703810237755,0.5456112565401002,2596,1495,AZC7E_3,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_32,0.03900739729660316,0.46209806084698524,1603,1004,AZC7E_32,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_36,0.010037213183776364,0.11896033938898472,2528,1429,AZC7E_36,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_37,0.031336612659627214,0.3712265181045155,2306,1369,AZC7E_37,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_38,0.023766952850905253,0.2815887595739379,2596,1495,AZC7E_38,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_39,0.026170712534901983,0.31002895731096025,1960,1220,AZC7E_39,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_52,0.009375168598805298,0.11109854073268345,2528,1429,AZC7E_52,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_54,0.050490634153045943,0.5981336167049695,2596,1495,AZC7E_54,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_58,0.0135324773237608,0.16045791679108468,2596,1495,AZC7E_58,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_60,0.006984047989749883,0.08276882198946175,2306,1369,AZC7E_60,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_61,0.008415866320405242,0.09974962156102386,2105,1291,AZC7E_61,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_68,0.021121836582968793,0.250260250151627,2596,1495,AZC7E_68,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_70,0.035945248871304215,0.4258224823189749,2306,1369,AZC7E_70,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_73,0.03319978931342449,0.393305292233792,2325,1385,AZC7E_73,0.7,sample_1,AZC7E,Bacteroidaceae
AZC7E_79,0.013062340797664223,0.15477576141848864,2528,1429,AZC7E_79,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_81,0.0069066161987416256,0.08185288486710374,2306,1369,AZC7E_81,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_84,0.00854466954245624,0.10125977849855294,2528,1429,AZC7E_84,0.7,sample_1,AZC7E,Muribaculaceae
AZC7E_87,0.053935314638948136,0.6389713708942165,2271,1361,AZC7E_87,0.7,sample_1,AZC7E,Rikenellaceae
AZC7E_89,0.04950892759431673,0.5865038820766327,2596,1495,AZC7E_89,0.7,sample_1,AZC7E,Muribaculaceae
AZC3J_18,0.009240556083539225,0.07363971982816227,2325,1385,AZC3J_18,0.7,sample_2,AZC3J,Bacteroidaceae
AZC3J_20,0.008436818275612466,0.06702980005333886,1881,1143,AZC3J_20,0.7,sample_2,AZC3J,Lachnospiraceae
AZC3J_28,0.014676038423898388,0.11656939949702448,1692,1091,AZC3J_28,0.7,sample_2,AZC3J,Akkermansiaceae
AZC3J_32,0.006166229792599595,0.0490209795136217,2306,1369,AZC3J_32,0.7,sample_2,AZC3J,Muribaculaceae
AZC3J_34,0.007188858646569215,0.0571239880766452,2594,1454,AZC3J_34,0.7,sample_2,AZC3J,Lachnospiraceae
AZC3J_49,0.02445475735455349,0.19423648326566145,1292,876,AZC3J_49,0.7,sample_2,AZC3J,Ruminococcaceae
AZC3J_57,0.005753010755523566,0.045707882883536596,1228,780,AZC3J_57,0.7,sample_2,AZC3J,UBA660
AZC3J_64,0.06371003752167378,0.5060304912653208,1280,858,AZC3J_64,0.7,sample_2,AZC3J,Ruminococcaceae
AZC3J_74,0.010875713136930776,0.08647757927966199,2306,1369,AZC3J_74,0.7,sample_2,AZC3J,Muribaculaceae
AZC3J_76,0.005637578132811913,0.044837496805794484,2105,1291,AZC3J_76,0.7,sample_2,AZC3J,Muribaculaceae
AZC3J_79,0.039707788431474385,0.31538715846059284,1156,740,AZC3J_79,0.7,sample_2,AZC3J,UBA660
AZC3J_87,0.023852970224442802,0.18958843316941335,2271,1361,AZC3J_87,0.7,sample_2,AZC3J,Rikenellaceae
AZC7E_101,0.03331224576669566,0.264622835673814,1665,1100,AZC7E_101,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_109,0.00733143928780004,0.05835184665417036,2596,1495,AZC7E_109,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_111,0.007663434624752048,0.06093513457749992,2596,1495,AZC7E_111,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_113,0.17903827813051326,1.4220513214538855,1578,1079,AZC7E_113,0.7,sample_2,AZC7E,Bacteroidaceae
AZC7E_17,0.00605190988648718,0.04812884433099293,2528,1429,AZC7E_17,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_2,0.00859492476811273,0.06829984992226408,1356,912,AZC7E_2,0.7,sample_2,AZC7E,UBA932
AZC7E_25,0.009014354263582073,0.07165173108993401,2306,1369,AZC7E_25,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_26,0.0452390660912061,0.35933206228252446,1665,1100,AZC7E_26,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_3,0.007123681454334992,0.056649947448687246,2596,1495,AZC7E_3,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_32,0.013781069794967375,0.10950782984205203,1603,1004,AZC7E_32,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_36,0.008783008165624299,0.06995578304908012,2528,1429,AZC7E_36,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_38,0.09867087077485136,0.7837304242733814,2596,1495,AZC7E_38,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_39,0.010649078650559408,0.08462499028015745,1960,1220,AZC7E_39,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_52,0.011167701174837086,0.0889952660656557,2528,1429,AZC7E_52,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_54,0.0587521454243024,0.4666545576462426,2596,1495,AZC7E_54,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_58,0.03502524509934208,0.27821794860378524,2596,1495,AZC7E_58,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_60,0.008366419827152142,0.06649837814172838,2306,1369,AZC7E_60,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_61,0.013895664224560284,0.11048252728334446,2105,1291,AZC7E_61,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_64,0.005643880015219189,0.04489430716091592,2105,1291,AZC7E_64,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_68,0.018616764579650315,0.14805275533513715,2596,1495,AZC7E_68,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_70,0.015934075224825282,0.12694676705475427,2306,1369,AZC7E_70,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_79,0.02670292561948566,0.2121920013584773,2528,1429,AZC7E_79,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_81,0.006824914700369079,0.0542494813528746,2306,1369,AZC7E_81,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_84,0.014824985532002538,0.11806734211167907,2528,1429,AZC7E_84,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_87,0.03666778489045666,0.2912875049257516,2271,1361,AZC7E_87,0.7,sample_2,AZC7E,Rikenellaceae
AZC7E_88,0.007311026816566204,0.058133164395537174,2528,1429,AZC7E_88,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_89,0.07807731160720116,0.620145840894875,2596,1495,AZC7E_89,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_96,0.007235436824913804,0.05748774303370355,1491,967,AZC7E_96,0.7,sample_2,AZC7E,Lactobacillaceae
