compartments,abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id,group,family
AZC3J_18,0.009240556083539225,0.018523588103839292,2325,1385,AZC3J_18,0.7,sample_2,AZC3J,Bacteroidaceae
AZC3J_20,0.008436818275612466,0.01661447304723054,1881,1143,AZC3J_20,0.7,sample_2,AZC3J,Lachnospiraceae
AZC3J_28,0.014676038423898388,0.027740826957089446,1692,1091,AZC3J_28,0.7,sample_2,AZC3J,Akkermansiaceae
AZC3J_32,0.006166229792599595,0.012729463873068695,2306,1369,AZC3J_32,0.7,sample_2,AZC3J,Muribaculaceae
AZC3J_34,0.007188858646569215,0.01413588230172478,2594,1454,AZC3J_34,0.7,sample_2,AZC3J,Lachnospiraceae
AZC3J_49,0.02445475735455349,0.04585031348532857,1292,876,AZC3J_49,0.7,sample_2,AZC3J,Ruminococcaceae
AZC3J_57,0.005753010755523566,0.01127231827691735,1228,780,AZC3J_57,0.7,sample_2,AZC3J,UBA660
AZC3J_64,0.06371003752167378,0.11805025833880844,1280,858,AZC3J_64,0.7,sample_2,AZC3J,Ruminococcaceae
AZC3J_74,0.010875713136930776,0.021488466704087612,2306,1369,AZC3J_74,0.7,sample_2,AZC3J,Muribaculaceae
AZC3J_76,0.005637578132811913,0.011682420193504583,2105,1291,AZC3J_76,0.7,sample_2,AZC3J,Muribaculaceae
AZC3J_79,0.039707788431474385,0.07460698861202142,1156,740,AZC3J_79,0.7,sample_2,AZC3J,UBA660
AZC3J_87,0.023852970224442802,0.04557624044509348,2271,1361,AZC3J_87,0.7,sample_2,AZC3J,Rikenellaceae
AZC7E_101,0.03331224576669566,0.062712682514188,1665,1100,AZC7E_101,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_109,0.00733143928780004,0.014893508767249203,2596,1495,AZC7E_109,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_111,0.007663434624752048,0.01548142830148367,2596,1495,AZC7E_111,0.7,sample_2,AZC7E,Muribaculaceae
AZC7E_113,0.17903827813051326,0.33091335520494936,1578,1079,AZC7E_113,0.7,sample_2,AZC7E,Bacteroidaceae
AZC7E_17,0.00605190988648718,0.012425676771863079,2528,1429,AZC7E_17,0.7,sample_2,AZC7E,Muribaculaceae
