sample_id,taxon,TSNE 1,TSNE 2
sample_1,AZC3J_18,11.0101185,-60.56821
sample_1,AZC3J_32,0.018084709,-19.836731
sample_1,AZC3J_62,-29.06113,76.58422
sample_1,AZC3J_74,3.2615743,-24.142153
sample_1,AZC3J_76,85.79633,14.941873
sample_1,AZC3J_88,41.924892,10.805266
sample_1,AZC3J_89,-29.200651,-74.92228
sample_10,AZC7E_100,-6.593404,-0.48125818
sample_10,AZC7E_101,35.98142,-38.245083
sample_10,AZC7E_104,-3.48229,37.873066
sample_10,AZC7E_109,-35.40342,77.63778
sample_10,AZC7E_111,44.217762,-1.3915855
sample_10,AZC7E_113,-21.641459,66.088196
sample_10,AZC7E_12,15.268339,-77.35436
sample_10,AZC7E_17,-49.116856,-45.000862
sample_10,AZC7E_22,-41.503437,-47.462776
sample_10,AZC7E_23,-36.383682,12.761065
sample_10,AZC7E_25,-33.951626,49.701797
sample_10,AZC7E_26,39.799423,-40.57213
sample_10,AZC7E_3,-35.254498,78.10136
sample_10,AZC7E_32,3.7147996,36.00923
sample_10,AZC7E_36,-60.43782,-25.453394
sample_10,AZC7E_37,-4.5797834,-4.738918
sample_10,AZC7E_38,46.494743,-6.5142803
sample_10,AZC7E_39,-38.498665,9.431163
sample_10,AZC7E_4,-62.725418,-22.027178
sample_10,AZC7E_52,-35.725567,-51.037983
sample_10,AZC7E_54,-31.13602,66.69988
sample_10,AZC7E_58,43.684265,0.87232625
sample_10,AZC7E_6,9.785849,33.830795
sample_10,AZC7E_60,7.274669,-16.71861
sample_10,AZC7E_61,85.36275,18.704435
sample_10,AZC7E_64,116.295265,6.4306297
sample_10,AZC7E_68,-34.323517,39.8629
sample_10,AZC7E_70,-33.42613,50.276752
sample_10,AZC7E_71,-47.946693,-45.17492
sample_10,AZC7E_73,14.656042,-75.9108
sample_10,AZC7E_79,-64.04572,-15.206699
sample_10,AZC7E_81,0.55064625,-13.7698345
sample_10,AZC7E_84,-48.622208,-44.25662
sample_10,AZC7E_88,-41.8073,-48.198475
sample_10,AZC7E_89,-33.457657,39.75577
sample_10,AZC7E_90,103.92641,8.305338
sample_10,AZC7E_94,115.147224,6.5130057
sample_14,AZC7E_100,-6.9895043,-1.0955851
sample_14,AZC7E_101,35.408474,-36.87262
sample_14,AZC7E_104,-0.084062494,36.590466
sample_14,AZC7E_109,-37.392807,79.47118
sample_14,AZC7E_111,45.535778,-1.4365355
sample_14,AZC7E_113,-4.713551,37.92509
sample_14,AZC7E_12,15.512233,-78.65427
sample_14,AZC7E_17,-41.733738,-56.610348
sample_14,AZC7E_22,-38.999546,-55.987717
sample_14,AZC7E_23,-37.118477,10.212777
sample_14,AZC7E_25,-32.785923,54.0533
sample_14,AZC7E_26,41.0678,-41.20589
sample_14,AZC7E_3,-29.830097,70.34827
sample_14,AZC7E_32,3.032057,35.284714
sample_14,AZC7E_36,-61.08802,-26.301983
sample_14,AZC7E_37,-5.7644677,-5.4523993
sample_14,AZC7E_38,45.698036,-2.5409155
sample_14,AZC7E_39,-37.676342,8.837235
sample_14,AZC7E_4,-63.552567,-19.554928
sample_14,AZC7E_52,-35.44006,-53.518166
sample_14,AZC7E_54,-29.53321,68.28397
sample_14,AZC7E_58,44.143505,4.1615376
sample_14,AZC7E_6,10.8151245,33.033703
sample_14,AZC7E_60,7.984905,-17.54955
sample_14,AZC7E_61,85.731895,19.587006
sample_14,AZC7E_64,117.12274,5.623887
sample_14,AZC7E_68,-34.11325,38.746956
sample_14,AZC7E_70,-33.124844,52.94752
sample_14,AZC7E_71,-41.05617,-56.52233
sample_14,AZC7E_73,15.109528,-74.966034
sample_14,AZC7E_79,-64.993904,-15.762253
sample_14,AZC7E_81,0.25778788,-12.745308
sample_14,AZC7E_84,-38.388546,-55.732006
sample_14,AZC7E_88,-37.03687,-54.913574
sample_14,AZC7E_89,-30.941628,42.557224
sample_14,AZC7E_90,104.85109,7.8232036
sample_14,AZC7E_94,113.97836,7.087731
sample_15,AZC3J_18,10.860663,-61.59127
sample_15,AZC3J_32,-1.9902204,-19.011068
sample_15,AZC3J_62,-28.470703,77.479126
sample_15,AZC3J_74,1.4942861,-22.420937
sample_15,AZC3J_76,86.090866,13.121853
sample_15,AZC3J_88,41.107666,10.707295
sample_15,AZC3J_89,-29.967905,-75.566444
sample_4,AZC7E_100,-3.385781,-0.46568796
sample_4,AZC7E_101,36.560867,-37.619415
sample_4,AZC7E_104,0.9792885,36.2968
sample_4,AZC7E_109,-35.132458,63.857494
sample_4,AZC7E_111,41.989796,4.267888
sample_4,AZC7E_113,-20.716934,67.047676
sample_4,AZC7E_12,13.398705,-72.58425
sample_4,AZC7E_17,-40.142975,-39.266426
sample_4,AZC7E_22,-38.409184,-38.83706
sample_4,AZC7E_23,-38.51539,11.938482
sample_4,AZC7E_25,-31.574774,47.711414
sample_4,AZC7E_26,40.84045,-40.199795
sample_4,AZC7E_3,-34.14997,64.269844
sample_4,AZC7E_32,4.8148217,35.13026
sample_4,AZC7E_36,-63.260784,-24.621634
sample_4,AZC7E_37,-3.8190553,-0.087632716
sample_4,AZC7E_38,46.11575,-5.2836103
sample_4,AZC7E_39,-39.680725,7.016453
sample_4,AZC7E_4,-63.292793,-23.905529
sample_4,AZC7E_52,-37.0923,-38.51165
sample_4,AZC7E_54,-33.344875,64.58626
sample_4,AZC7E_58,42.635815,1.9018464
sample_4,AZC7E_6,11.98701,32.099667
sample_4,AZC7E_60,-2.2137804,-8.025206
sample_4,AZC7E_61,89.93259,10.301018
