"OTU1","OTU1Type","color","OTUcolor"
"Otu102","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu102"
"Otu109","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu109"
"Otu113","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu113"
"Otu116","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu116"
"Otu12","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu12"
"Otu129","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu129"
"Otu13","Neither","#828382","<b style='color:#828382'>Otu13"
"Otu139","Neither","#828382","<b style='color:#828382'>Otu139"
"Otu14","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu14"
"Otu142","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu142"
"Otu146","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu146"
"Otu15","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu15"
"Otu150","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu150"
"Otu154","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu154"
"Otu16","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu16"
"Otu17","Neither","#828382","<b style='color:#828382'>Otu17"
"Otu18","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu18"
"Otu19","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu19"
"Otu2","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu2"
"Otu21","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu21"
"Otu22","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu22"
"Otu24","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu24"
"Otu25","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu25"
"Otu26","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu26"
"Otu27","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu27"
"Otu29","Neither","#828382","<b style='color:#828382'>Otu29"
"Otu3","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu3"
"Otu30","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu30"
"Otu31","Neither","#828382","<b style='color:#828382'>Otu31"
"Otu32","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu32"
"Otu33","Neither","#828382","<b style='color:#828382'>Otu33"
"Otu34","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu34"
"Otu35","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu35"
"Otu36","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu36"
"Otu37","Neither","#828382","<b style='color:#828382'>Otu37"
"Otu38","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu38"
"Otu39","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu39"
"Otu4","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu4"
"Otu40","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu40"
"Otu43","Neither","#828382","<b style='color:#828382'>Otu43"
"Otu44","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu44"
"Otu45","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu45"
"Otu46","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu46"
"Otu49","Neither","#828382","<b style='color:#828382'>Otu49"
"Otu5","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu5"
"Otu53","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu53"
"Otu536","Neither","#828382","<b style='color:#828382'>Otu536"
"Otu54","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu54"
"Otu55","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu55"
"Otu56","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu56"
"Otu57","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu57"
"Otu58","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu58"
"Otu6","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu6"
"Otu60","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu60"
"Otu62","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu62"
"Otu63","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu63"
"Otu67","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu67"
"Otu691","Neither","#828382","<b style='color:#828382'>Otu691"
"Otu7","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu7"
"Otu71","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu71"
"Otu72","Neither","#828382","<b style='color:#828382'>Otu72"
"Otu74","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu74"
"Otu75","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu75"
"Otu76","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu76"
"Otu8","Neither","#828382","<b style='color:#828382'>Otu8"
"Otu80","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu80"
"Otu82","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu82"
"Otu9","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu9"
"Otu92","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu92"
"Otu94","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu94"
"Otu99","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu99"
"Otu104","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu104"
"Otu106","Neither","#828382","<b style='color:#828382'>Otu106"
"Otu11","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu11"
"Otu131","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu131"
"Otu23","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu23"
"Otu42","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu42"
"Otu47","Neither","#828382","<b style='color:#828382'>Otu47"
"Otu50","Neither","#828382","<b style='color:#828382'>Otu50"
"Otu64","Neither","#828382","<b style='color:#828382'>Otu64"
"Otu66","Neither","#828382","<b style='color:#828382'>Otu66"
"Otu69","Neither","#828382","<b style='color:#828382'>Otu69"
"Otu84","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu84"
"Otu85","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu85"
"Otu87","Neither","#828382","<b style='color:#828382'>Otu87"
"Otu10","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu10"
"Otu101","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu101"
"Otu180","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu180"
"Otu41","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu41"
"Otu159","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu159"
"Otu81","Neither","#828382","<b style='color:#828382'>Otu81"
"Otu657","Neither","#828382","<b style='color:#828382'>Otu657"
"Otu77","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu77"
"Otu48","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu48"
"Otu121","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu121"
"Otu28","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu28"
"Otu487","Neither","#828382","<b style='color:#828382'>Otu487"
"Otu97","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu97"
"Otu111","Envigo Specific","#377EB8","<b style='color:#377EB8'>Otu111"
"Otu20","Neither","#828382","<b style='color:#828382'>Otu20"
"Otu51","Jackson Specific","#E41A1C","<b style='color:#E41A1C'>Otu51"
"Otu122","Neither","#828382","<b style='color:#828382'>Otu122"
"Otu645","Neither","#828382","<b style='color:#828382'>Otu645"
"Otu678","Neither","#828382","<b style='color:#828382'>Otu678"
