Class,MouseGroup,num_class
Clostridia,Env,37
Bacteroidia,Env,25
Negativicutes,Env,2
Bacilli,Env,10
Actinobacteria,Env,1
Synergistia,Env,1
Verrucomicrobiae,Env,1
Desulfovibrionia,Env,1
Gammaproteobacteria,Env,1
Coriobacteriia,Env,4
Methanobacteria,Env,1
Bacteroidia,Env2Jax,24
Clostridia,Env2Jax,33
Bacilli,Env2Jax,10
Desulfovibrionia,Env2Jax,1
Coriobacteriia,Env2Jax,4
Verrucomicrobiae,Env2Jax,1
Actinobacteria,Env2Jax,1
Methanobacteria,Env2Jax,1
Clostridia,Jax,38
Bacilli,Jax,10
Bacteroidia,Jax,25
Gammaproteobacteria,Jax,1
Coriobacteriia,Jax,4
Actinobacteria,Jax,1
Synergistia,Jax,1
Methanobacteria,Jax,1
Verrucomicrobiae,Jax,1
Negativicutes,Jax,2
Desulfovibrionia,Jax,1
