Class,MouseGroup,num_class
Bacilli,E,4
Bacilli,JEE,5
Bacilli,JEJ,4
Bacilli,J,2
Bacteroidia,E,31
Bacteroidia,JEE,31
Bacteroidia,JEJ,31
Clostridia,E,69
Clostridia,JEE,61
Clostridia,JEJ,61
Clostridia,J,66
Erysipelotrichia,JEE,3
Erysipelotrichia,JEJ,4
Erysipelotrichia,J,4
Bacteroidia,J,6
Gammaproteobacteria,E,1
Gammaproteobacteria,JEE,1
Gammaproteobacteria,JEJ,1
Thermotogae,E,1
Thermotogae,JEE,1
Thermotogae,JEJ,1
Thermotogae,J,1
Mollicutes,JEE,3
Mollicutes,JEJ,3
Mollicutes,J,1
Coriobacteriia,E,2
Coriobacteriia,JEE,2
Coriobacteriia,JEJ,2
Coriobacteriia,J,1
Mollicutes,E,1
Sphingobacteriia,E,1
Sphingobacteriia,JEE,1
Sphingobacteriia,JEJ,1
Sphingobacteriia,J,1
Erysipelotrichia,E,1
Verrucomicrobiae,E,1
Verrucomicrobiae,JEE,1
Verrucomicrobiae,J,1
Deltaproteobacteria,E,1
Deltaproteobacteria,JEE,1
