OTU,MouseGroup,subgroup
Otu65,E,subgroup 1
Otu189,E,subgroup 1
Otu45,E,subgroup 1
Otu132,E,subgroup 1
Otu89,E,subgroup 1
Otu83,E,subgroup 1
Otu161,E,subgroup 1
Otu44,E,subgroup 1
Otu164,E,subgroup 1
Otu165,E,subgroup 1
Otu129,E,subgroup 1
Otu47,E,subgroup 1
Otu107,E,subgroup 1
Otu49,E,subgroup 1
Otu75,E,subgroup 1
Otu117,E,subgroup 1
Otu69,E,subgroup 1
Otu21,E,subgroup 1
Otu7,E,subgroup 1
Otu16,E,subgroup 2
Otu25,E,subgroup 2
Otu38,E,subgroup 2
Otu2,E,subgroup 2
Otu11,E,subgroup 2
Otu34,E,subgroup 2
Otu121,E,subgroup 3
Otu28,E,subgroup 3
Otu29,E,subgroup 3
Otu19,E,subgroup 3
Otu36,E,subgroup 3
Otu13,E,subgroup 3
Otu53,E,subgroup 3
Otu37,E,subgroup 3
Otu14,E,subgroup 3
Otu6,E,subgroup 3
Otu39,E,subgroup 4
Otu41,E,subgroup 4
Otu15,E,subgroup 4
Otu3,E,subgroup 4
Otu18,E,subgroup 4
Otu32,E,subgroup 4
Otu82,E,subgroup 4
Otu66,E,subgroup 4
Otu92,E,subgroup 4
Otu31,E,subgroup 4
Otu52,E,subgroup 4
Otu10,E,subgroup 4
Otu24,E,subgroup 4
Otu63,E,subgroup 4
Otu23,J,subgroup 1
Otu59,J,subgroup 1
Otu94,J,subgroup 1
Otu40,J,subgroup 1
Otu127,J,subgroup 1
Otu72,J,subgroup 1
Otu8,J,subgroup 1
Otu35,J,subgroup 1
Otu20,J,subgroup 1
Otu26,J,subgroup 1
Otu90,J,subgroup 1
Otu17,J,subgroup 1
Otu79,J,subgroup 2
Otu22,J,subgroup 2
Otu27,J,subgroup 2
Otu33,J,subgroup 2
Otu61,J,subgroup 2
Otu51,J,subgroup 2
Otu30,J,subgroup 2
Otu157,J,subgroup 2
Otu43,J,subgroup 2
Otu5,J,subgroup 3
Otu99,J,subgroup 3
Otu12,J,subgroup 3
Otu4,J,subgroup 3
Otu50,J,subgroup 3
Otu48,J,subgroup 3
Otu55,J,subgroup 3
Otu91,J,subgroup 3
