OTU,subgroup,MouseGroup
85,1,Env
102,1,Env
76,1,Env
78,1,Env
113,1,Env
98,1,Env
37,1,Env
9,1,Env
40,1,Env
87,1,Env
63,1,Env
21,1,Env
66,1,Env
99,1,Env
49,1,Env
67,1,Env
22,1,Env
39,1,Env
118,1,Env
127,1,Env
72,1,Env
1,2,Env
8,2,Env
5,2,Env
7,2,Env
3,2,Env
25,2,Env
13,2,Env
6,2,Env
14,2,Env
26,2,Env
30,2,Env
4,2,Env
44,2,Env
52,2,Env
15,2,Env
81,2,Env
18,2,Env
43,2,Env
46,2,Env
23,2,Env
84,2,Env
31,2,Env
97,3,Env
34,3,Env
42,3,Env
112,3,Env
75,3,Env
126,3,Env
60,3,Env
33,4,Env
61,4,Env
73,4,Env
91,4,Env
20,4,Env
47,4,Env
86,4,Env
64,4,Env
53,4,Env
83,4,Env
69,4,Env
103,4,Env
55,4,Env
90,4,Env
17,4,Env
28,4,Env
19,4,Env
48,4,Env
95,4,Env
38,4,Env
54,4,Env
35,4,Env
27,4,Env
51,4,Env
68,4,Env
93,4,Env
12,4,Env
45,4,Env
10,4,Env
29,4,Env
2,4,Env
9,1,Jax
37,1,Jax
76,1,Jax
85,1,Jax
98,1,Jax
21,1,Jax
78,1,Jax
63,1,Jax
102,1,Jax
40,1,Jax
66,1,Jax
87,1,Jax
95,1,Jax
49,1,Jax
99,1,Jax
113,1,Jax
118,1,Jax
22,1,Jax
39,1,Jax
127,1,Jax
72,1,Jax
5,2,Jax
7,2,Jax
3,2,Jax
10,2,Jax
1,2,Jax
8,2,Jax
61,2,Jax
55,2,Jax
93,2,Jax
33,2,Jax
15,2,Jax
44,2,Jax
26,2,Jax
6,2,Jax
23,2,Jax
29,2,Jax
31,2,Jax
53,2,Jax
25,2,Jax
43,2,Jax
30,2,Jax
91,2,Jax
86,2,Jax
46,2,Jax
84,2,Jax
83,2,Jax
52,2,Jax
73,2,Jax
116,2,Jax
4,2,Jax
81,2,Jax
20,2,Jax
34,3,Jax
42,3,Jax
126,3,Jax
97,3,Jax
112,3,Jax
60,3,Jax
75,3,Jax
51,4,Jax
35,4,Jax
69,4,Jax
68,4,Jax
103,4,Jax
62,4,Jax
14,4,Jax
13,4,Jax
27,4,Jax
28,4,Jax
56,4,Jax
67,4,Jax
54,4,Jax
90,4,Jax
19,4,Jax
48,4,Jax
38,4,Jax
64,4,Jax
12,4,Jax
45,4,Jax
2,4,Jax
17,4,Jax
18,4,Jax
