OTU,colonizer_type,order,family
Otu13,Early,Bacteroidales,Muribaculaceae
Otu22,Early,Bacteroidales,Bacteroidaceae
Otu27,Early,Bacteroidales,Muribaculaceae
Otu29,Early,Bacteroidales,Barnesiellaceae
Otu3,Early,Lactobacillales,Lactobacillaceae
Otu32,Early,Lactobacillales,Lactobacillaceae
Otu34,Early,Bacteroidales,Muribaculaceae
Otu36,Early,Bacteroidales,Muribaculaceae
Otu41,Early,Bacteroidales,Muribaculaceae
Otu42,Early,Bacteroidales,Muribaculaceae
Otu43,Early,Bacteroidales,Muribaculaceae
Otu46,Early,Lactobacillales,Lactobacillaceae
Otu62,Early,Lactobacillales,Lactobacillaceae
Otu7,Early,Bacteroidales,Muribaculaceae
Otu72,Early,Bacteroidales,Rikenellaceae
Otu74,Early,Bacteroidales,Odoribacteraceae
Otu78,Early,Deferribacterales,Deferribacteraceae
Otu79,Early,Bacteroidales,Muribaculaceae
Otu89,Early,Bacteroidales,Muribaculaceae
Otu105,Late,Clostridiales,Lachnospiraceae
Otu115,Late,Clostridiales,Lachnospiraceae
Otu125,Late,Clostridiales,Lachnospiraceae
Otu157,Late,Clostridiales,Lachnospiraceae
Otu166,Late,Clostridiales,Lachnospiraceae
Otu186,Late,Clostridiales,Lachnospiraceae
Otu188,Late,Clostridiales,Lachnospiraceae
Otu190,Late,Clostridiales,Lachnospiraceae
Otu51,Late,Clostridiales,Lachnospiraceae
Otu66,Late,Clostridiales,Lachnospiraceae
Otu69,Late,Clostridiales,Lachnospiraceae
Otu140,Unstable,Bacteroidales,Muribaculaceae
Otu142,Unstable,Clostridiales,Clostridiaceae_1
Otu5,Unstable,Bacteroidales,Bacteroidaceae
Otu52,Unstable,Erysipelotrichales,Erysipelotrichaceae
Otu101,Unstable,Anaeroplasmatales,Anaeroplasmataceae
Otu136,Unstable,Clostridiales,Lachnospiraceae
Otu153,Unstable,Clostridiales,Lachnospiraceae
Otu208,Unstable,Clostridiales,Lachnospiraceae
Otu245,Unstable,Clostridiales,Lachnospiraceae
Otu49,Unstable,Clostridiales,Lachnospiraceae
Otu94,Unstable,Clostridiales,Lachnospiraceae
Otu6,Shared,Bacteroidales,Muribaculaceae
Otu8,Shared,Bacteroidales,Muribaculaceae
Otu10,Shared,Lactobacillales,Lactobacillaceae
Otu61,Shared,Clostridiales,Ruminococcaceae
Otu70,Shared,Clostridiales,Lachnospiraceae
Otu19,Shared,Bacteroidales,Muribaculaceae
Otu17,Shared,Bacteroidales,Muribaculaceae
Otu77,Shared,Bacteroidales,Barnesiellaceae
Otu25,Shared,Bacteroidales,Muribaculaceae
Otu4,Shared,Bacteroidales,Muribaculaceae
Otu44,Shared,Bacteroidales,Muribaculaceae
Otu24,Shared,Bacteroidales,Muribaculaceae
Otu31,Shared,Bacteroidales,Muribaculaceae
Otu33,Shared,Bacteroidales,Muribaculaceae
Otu45,Shared,Bacteroidales,Muribaculaceae
Otu59,Shared,Bacteroidales,Muribaculaceae
Otu64,Shared,Bacteroidales,Muribaculaceae
Otu1,Shared,Bacillales,Planococcaceae
