OTU,d0_otu_biomass,d0_total_biomass,d0_scaled_biomass,early_otu_biomass,early_total_biomass,early_scaled_biomass,late_otu_biomass,late_total_biomass,late_scaled_biomass,early_delta,late_delta,early_type,late_type,genus,family
Otu86,0,0.79096651724274,0,0,0.70837687558537,0,0.0000921358108739917,0.843305172427757,0.000109255597957197,0,0.0000921358108739917,Displaced,Gained,Enterocloster,Lachnospiraceae
Otu39,0.00000773156022885418,0.79096651724274,0.0000097748261908809,0.00000509964710442037,0.70837687558537,0.00000719905925811914,0.000378533633016213,0.843305172427757,0.000448869099102604,-0.00000263191312443381,0.000373433985911793,Displaced,Gained,Lacrimispora,Lachnospiraceae
Otu135,0.000412654502691403,0.79096651724274,0.000521709192103215,0.00190338030504889,0.70837687558537,0.00268695996530945,0.00164835160720301,0.843305172427757,0.00195463239298965,0.00149072580235748,-0.000255028697845872,Gained,Displaced,Bacteroides,Lachnospiraceae
Otu22,0.00000773156022885418,0.79096651724274,0.0000097748261908809,0.0384630361102818,0.70837687558537,0.0542974191224096,0.00625748648020018,0.843305172427757,0.00742019222078973,0.038455304550053,-0.0322055496300816,Gained,Displaced,Bacteroides,Bacteroidaceae
Otu190,0.0000061223490228731,0.79096651724274,0.00000774033905280242,0,0.70837687558537,0,0.00189382894757403,0.843305172427757,0.00224572196340497,-0.0000061223490228731,0.00189382894757403,Displaced,Gained,Enterocloster,Lachnospiraceae
Otu81,0,0.79096651724274,0,0.0000152989413132611,0.70837687558537,0.0000215971777743574,0,0.843305172427757,0,0.0000152989413132611,-0.0000152989413132611,Gained,Displaced,Syntrophococcus,Lachnospiraceae
Otu32,0.000016126456132145,0.79096651724274,0.0000203882917678498,0.0108652055260201,0.70837687558537,0.0153381708247345,0.0124979915475789,0.843305172427757,0.0148202477065318,0.010849079069888,0.00163278602155878,Gained,Gained,Ligilactobacillus,Lactobacillaceae
Otu78,0,0.79096651724274,0,0.000785047055305884,0.70837687558537,0.00110823360045055,0.00185755809040093,0.843305172427757,0.00220271160563771,0.000785047055305884,0.00107251103509504,Gained,Gained,Mucispirillum,Deferribacteraceae
Otu171,0,0.79096651724274,0,0.0000146438612933458,0.70837687558537,0.000020672415769141,0.00012595839817265,0.843305172427757,0.00014936277197261,0.0000146438612933458,0.000111314536879304,Gained,Gained,Butyrivibrio,Lachnospiraceae
Otu125,0.0000399844724931442,0.79096651724274,0.0000505514097265805,0.0000732249812045308,0.70837687558537,0.000103370089747807,0.00415620384953631,0.843305172427757,0.00492846953324285,0.0000332405087113867,0.00408297886833177,Gained,Gained,Enterocloster,Lachnospiraceae
Otu49,0.00117740808164664,0.79096651724274,0.00148856880282494,0.0133033074515113,0.70837687558537,0.0187799854992699,0.000287162951562425,0.843305172427757,0.000340520799529456,0.0121258993698647,-0.0130161444999489,Gained,Displaced,Clostridium_XlVa,Lachnospiraceae
Otu111,0.000794839748326221,0.79096651724274,0.00100489683317694,0.000613754019704307,0.70837687558537,0.0008664230028643,0.00485450076710395,0.843305172427757,0.00575651724408203,-0.000181085728621914,0.00424074674739964,Displaced,Gained,Blautia,Lachnospiraceae
Otu186,0,0.79096651724274,0,0,0.70837687558537,0,0.00202569774292098,0.843305172427757,0.00240209334550775,0,0.00202569774292098,Displaced,Gained,Marvinbryantia,Lachnospiraceae
Otu7,0.0000215854694805815,0.79096651724274,0.0000272899914345642,0.0159067280777432,0.70837687558537,0.0224551769347335,0.0440437704344347,0.843305172427757,0.0522275587467807,0.0158851426082626,0.0281370423566915,Gained,Gained,Paramuribaculum,Muribaculaceae
Otu188,0,0.79096651724274,0,0.0000135343115885685,0.70837687558537,0.0000191060889408401,0.000772071455749814,0.843305172427757,0.000915530321635677,0.0000135343115885685,0.000758537144161246,Gained,Gained,Merdimonas,Lachnospiraceae
Otu285,0,0.79096651724274,0,0.00000679976064842518,0.70837687558537,0.00000959907202335785,0.0000166710427009777,0.843305172427757,0.000019768694947031,0.00000679976064842518,0.00000987128205255253,Gained,Gained,Agathobacter,Lachnospiraceae
Otu34,0.0000361027144067454,0.79096651724274,0.0000456437960643355,0.0240574278215358,0.70837687558537,0.033961339861152,0.00934508156515877,0.843305172427757,0.011081494423016,0.024021325107129,-0.014712346256377,Gained,Displaced,Duncaniella,Muribaculaceae
