"OTU","MouseGroup"
"Otu65","E"
"Otu189","E"
"Otu45","E"
"Otu132","E"
"Otu89","E"
"Otu83","E"
"Otu161","E"
"Otu44","E"
"Otu164","E"
"Otu165","E"
"Otu129","E"
"Otu47","E"
"Otu107","E"
"Otu49","E"
"Otu75","E"
"Otu117","E"
"Otu69","E"
"Otu21","E"
"Otu7","E"
"Otu16","E"
"Otu25","E"
"Otu38","E"
"Otu2","E"
"Otu11","E"
"Otu34","E"
"Otu121","E"
"Otu28","E"
"Otu29","E"
"Otu19","E"
"Otu36","E"
"Otu13","E"
"Otu53","E"
"Otu37","E"
"Otu14","E"
"Otu6","E"
"Otu39","E"
"Otu41","E"
"Otu15","E"
"Otu3","E"
"Otu18","E"
"Otu32","E"
"Otu82","E"
"Otu66","E"
"Otu92","E"
"Otu31","E"
"Otu52","E"
"Otu10","E"
"Otu24","E"
"Otu63","E"
