"OTU","MouseGroup"
"Otu16","JEE"
"Otu36","JEE"
"Otu24","JEE"
"Otu30","JEE"
"Otu77","JEE"
"Otu81","JEE"
"Otu19","JEE"
"Otu53","JEE"
"Otu121","JEE"
"Otu70","JEE"
"Otu27","JEE"
"Otu26","JEE"
"Otu92","JEE"
"Otu103","JEE"
"Otu136","JEE"
"Otu114","JEE"
"Otu71","JEE"
"Otu80","JEE"
"Otu74","JEE"
"Otu8","JEE"
"Otu49","JEE"
"Otu84","JEE"
"Otu44","JEE"
"Otu100","JEE"
"Otu15","JEE"
"Otu60","JEE"
"Otu41","JEE"
"Otu1","JEE"
"Otu33","JEE"
"Otu65","JEE"
"Otu55","JEE"
"Otu150","JEE"
"Otu63","JEE"
"Otu5","JEE"
"Otu13","JEE"
"Otu25","JEE"
"Otu29","JEE"
"Otu3","JEE"
"Otu6","JEE"
"Otu10","JEE"
"Otu14","JEE"
"Otu98","JEE"
"Otu28","JEE"
"Otu37","JEE"
"Otu18","JEE"
"Otu4","JEE"
"Otu54","JEE"
"Otu2","JEE"
"Otu7","JEE"
"Otu68","JEE"
"Otu43","JEE"
"Otu131","JEE"
"Otu52","JEE"
"Otu94","JEE"
"Otu11","JEE"
"Otu32","JEE"
"Otu78","JEE"
"Otu39","JEE"
"Otu89","JEE"
"Otu107","JEE"
"Otu31","JEE"
"Otu83","JEE"
"Otu64","JEE"
"Otu73","JEE"
"Otu21","JEE"
"Otu34","JEE"
"Otu139","JEE"
"Otu132","JEE"
"Otu47","JEE"
"Otu46","JEE"
"Otu85","JEE"
"Otu66","JEE"
"Otu50","JEE"
