"OTU","MouseGroup"
"Otu66","JEJ"
"Otu52","JEJ"
"Otu32","JEJ"
"Otu68","JEJ"
"Otu10","JEJ"
"Otu31","JEJ"
"Otu29","JEJ"
"Otu2","JEJ"
"Otu37","JEJ"
"Otu77","JEJ"
"Otu6","JEJ"
"Otu13","JEJ"
"Otu28","JEJ"
"Otu25","JEJ"
"Otu21","JEJ"
"Otu38","JEJ"
"Otu3","JEJ"
"Otu7","JEJ"
"Otu16","JEJ"
"Otu11","JEJ"
"Otu18","JEJ"
"Otu30","JEJ"
"Otu44","JEJ"
"Otu39","JEJ"
"Otu96","JEJ"
"Otu64","JEJ"
"Otu22","JEJ"
"Otu85","JEJ"
"Otu98","JEJ"
"Otu55","JEJ"
"Otu34","JEJ"
"Otu51","JEJ"
"Otu14","JEJ"
"Otu109","JEJ"
"Otu78","JEJ"
"Otu24","JEJ"
"Otu4","JEJ"
"Otu54","JEJ"
"Otu81","JEJ"
"Otu86","JEJ"
"Otu87","JEJ"
"Otu23","JEJ"
"Otu48","JEJ"
"Otu47","JEJ"
"Otu49","JEJ"
"Otu73","JEJ"
"Otu36","JEJ"
"Otu41","JEJ"
"Otu1","JEJ"
"Otu15","JEJ"
"Otu33","JEJ"
"Otu5","JEJ"
"Otu17","JEJ"
"Otu46","JEJ"
"Otu43","JEJ"
"Otu19","JEJ"
"Otu53","JEJ"
"Otu143","JEJ"
"Otu40","JEJ"
"Otu71","JEJ"
"Otu107","JEJ"
"Otu50","JEJ"
