OTU,colonizer_type
Otu10,non
Otu101,non
Otu103,non
Otu105,late
Otu110,non
Otu111,non
Otu112,non
Otu115,late
Otu122,non
Otu125,late
Otu13,early
Otu133,non
Otu135,non
Otu136,non
Otu140,non
Otu142,non
Otu148,non
Otu153,non
Otu157,late
Otu161,non
Otu166,late
Otu17,non
Otu171,non
Otu186,late
Otu188,late
Otu19,non
Otu190,late
Otu2,early
Otu205,non
Otu208,non
Otu22,early
Otu24,non
Otu245,non
Otu25,non
Otu27,early
Otu285,non
Otu29,early
Otu3,early
Otu30,non
Otu31,non
Otu32,early
Otu33,non
Otu34,early
Otu36,early
Otu387,non
Otu39,non
Otu4,non
Otu41,early
Otu42,early
Otu43,early
Otu44,non
Otu45,non
Otu46,early
Otu47,non
Otu49,non
Otu5,non
Otu51,late
Otu52,non
Otu53,non
Otu59,non
Otu6,non
Otu61,non
Otu62,early
Otu64,non
Otu66,late
Otu68,non
Otu69,late
Otu7,early
Otu70,non
Otu72,early
Otu74,early
Otu77,non
Otu78,early
Otu79,early
Otu8,non
Otu81,non
Otu86,non
Otu87,non
Otu89,early
Otu91,early
Otu93,non
Otu94,non
Otu97,late
