bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
DA_MAG_00001	2692771	119	37495	39.02767834832407	95.77464788732394	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Massilioclostridium	Massilioclostridium coli
DA_MAG_00002	4343443	112	54749	50.75454715998675	100.0	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
DA_MAG_00003	2252763	38	90293	54.7201565298162	95.77464788732394	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae		
DA_MAG_00004	2080315	41	84629	32.76321292398405	100.0	2.816901408450704	Bacteria	Firmicutes	Clostridia	Lachnospirales	CAG-274	UMGS1441	UMGS1441 sp900551755
DA_MAG_00005	2252732	32	129643	51.38792622164542	94.36619718309859	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp000435195
DA_MAG_00006	2896621	67	101382	48.734447358027865	95.77464788732394	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Anaeromassilibacillus	Anaeromassilibacillus sp001305115
DA_MAG_00007	2090558	37	101649	47.30086198936447	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1191	UBA1191 sp900549125
DA_MAG_00008	4442355	77	104940	64.9287222592935	98.59154929577464	0.0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp000251145
DA_MAG_00009	2542706	60	96939	36.72006726626229	100.0	0.0	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	Monoglobus pectinilyticus
DA_MAG_00010	2288101	44	86041	58.49849927758598	100.0	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia sp004556345
DA_MAG_00011	1904722	26	114353	60.48593728005493	98.59154929577464	1.408450704225352	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
DA_MAG_00012	2828779	79	66780	63.19270704004033	94.36619718309859	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Bittarella	Bittarella massiliensis
DA_MAG_00013	2645555	52	78236	42.85833668263088	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales	Anaerovoracaceae	UBA1191	
DA_MAG_00014	2176972	54	70863	47.20958974225953	94.36619718309859	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum sp000436415
DA_MAG_00015	2352990	67	80223	52.76578167216102	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus	Ruminococcus sp003531055
DA_MAG_00016	2161275	61	51894	58.51114924974091	100.0	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1766	UMGS1766 sp900554855
DA_MAG_00017	1430833	24	83108	36.82000440532964	97.1830985915493	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA4285	UBA4285 sp900545225
DA_MAG_00018	2174015	43	111680	59.194966587050715	98.59154929577464	2.816901408450704	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	
DA_MAG_00019	3158530	129	39074	45.784184150090255	98.59154929577464	4.225352112676056	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	
DA_MAG_00020	3030036	129	33173	49.2482286738672	95.77464788732394	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium	Clostridium leptum
DA_MAG_00021	2090881	62	48588	49.42255997697886	98.59154929577464	1.408450704225352	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	
DA_MAG_00022	2373355	113	29619	30.866077753578562	97.1830985915493	0.0	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Massiliomicrobiota	Massiliomicrobiota sp002160865
DA_MAG_00023	2140414	116	26958	35.181172548512684	98.59154929577464	0.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
DA_MAG_00024	1720379	75	54918	46.10129031482839	98.59154929577464	1.408450704225352	Bacteria	Firmicutes	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister invisus
DA_MAG_00025	2345053	137	26994	43.105642627451964	98.59154929577464	4.225352112676056	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	
DA_MAG_00026	2081597	70	61306	40.18475628498342	92.95774647887323	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus	Ruminococcus bromii
DA_MAG_00027	2526838	142	32780	38.020532765946626	100.0	0.0	Bacteria	Firmicutes	Clostridia	Monoglobales	UBA1381	CAG-41	CAG-41 sp900066215
DA_MAG_00028	2780140	117	40598	41.29822840843604	100.0	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp003529475
DA_MAG_00029	3218884	142	37407	36.29794521459073	100.0	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
DA_MAG_00030	2795608	65	85362	52.78780398750747	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp000435795
DA_MAG_00031	1873648	192	14091	29.116203452447298	92.95774647887323	0.0	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	
DA_MAG_00032	2241875	199	14664	50.146104039257935	98.59154929577464	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
DA_MAG_00033	2308349	105	32725	60.52710432723817	95.77464788732394	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp003525905
DA_MAG_00034	2881094	135	36453	44.68005469850737	98.59154929577464	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus	
DA_MAG_00035	2704468	57	87160	51.66006819409723	98.59154929577464	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
DA_MAG_00036	3320096	116	40072	48.12634257452865	97.1830985915493	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CHKCI001	CHKCI001 sp900045905
DA_MAG_00037	2899470	222	17832	41.717552467440974	98.59154929577464	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp001916965
DA_MAG_00038	2520805	69	65098	36.23490652389433	100.0	9.859154929577464	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp900316325
DA_MAG_00039	2793697	85	57582	43.23646760243986	100.0	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	
DA_MAG_00040	3018086	89	54792	59.92606192316979	95.77464788732394	2.816901408450704	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter welbionis
DA_MAG_00041	2435422	165	24171	41.72027398015408	98.59154929577464	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	
DA_MAG_00042	1674193	73	37606	54.1752527370766	95.77464788732394	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335
DA_MAG_00043	2867306	100	51184	39.68178343918562	100.0	2.816901408450704	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	Eubacterium sp003491505
DA_MAG_00044	2631992	58	78595	41.26296242708741	98.59154929577464	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-45	
DA_MAG_00045	1926166	80	44135	38.73316056584108	92.95774647887323	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Anaerotignaceae	UMGS1670	UMGS1670 sp900548595
DA_MAG_00046	2831714	74	61325	45.865741953383385	92.95774647887323	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella glycyrrhizinilyticum
DA_MAG_00047	2549882	42	112714	41.28303408627119	98.59154929577464	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	
DA_MAG_00048	2658236	206	16729	57.6248737034115	91.54929577464789	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum sp900291975
DA_MAG_00049	2490165	269	12047	59.54051743023957	91.54929577464789	1.408450704225352	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium	Ruthenibacterium lactatiformans
DA_MAG_00050	1723885	63	53530	29.625975907745055	90.14084507042253	2.816901408450704	Bacteria	Firmicutes	Clostridia	TANB77	CAG-508	CAG-273	CAG-273 sp003507395
DA_MAG_00051	1508856	200	10047	58.46894729438705	97.1830985915493	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp001916835
DA_MAG_00052	1658856	199	10923	60.23416873003594	98.59154929577464	1.408450704225352	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	
DA_MAG_00053	2200274	75	56019	41.32062503252553	100.0	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	UBA11774	UBA11774 sp003507655
DA_MAG_00054	2524386	132	31345	42.153684961627704	97.1830985915493	4.225352112676056	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000437735
DA_MAG_00055	3611646	273	18662	44.247112348683906	97.1830985915493	1.408450704225352	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	
DA_MAG_00056	2541987	301	10514	52.499520449388335	90.14084507042253	4.225352112676056	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp003531585
DA_MAG_00057	2834481	97	54844	58.78066962404913	92.95774647887323	7.042253521126761	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DA_MAG_00058	1053695	34	52055	24.27469356730215	87.32394366197182	2.816901408450704	Bacteria	Firmicutes	Bacilli	RF39	CAG-611	CAG-611	CAG-611 sp000434175
DA_MAG_00059	1688689	56	44032	34.624656454054495	92.95774647887323	0.0	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea cylindroides
DA_MAG_00060	7293933	170	69488	46.848641779999326	100.0	2.816901408450704	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella tayi
DA_MAG_00061	3243871	66	68739	51.16769751198746	95.77464788732394	0.0	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	
DA_MAG_00062	2912566	133	31119	49.62062657983914	94.36619718309859	7.042253521126761	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia hominis
DA_MAG_00063	1703467	157	15327	36.72274123431825	88.73239436619718	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium	Eubacterium sp000434995
DA_MAG_00064	2803316	259	15965	48.608843339540506	95.77464788732394	2.816901408450704	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
DA_MAG_00065	2738280	52	86245	45.86259985077594	97.1830985915493	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas intestinalis
DA_MAG_00066	2963722	309	12399	60.72721005798118	91.54929577464789	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter asaccharolyticus
DA_MAG_00067	2502187	166	21372	46.843989813125745	97.1830985915493	5.633802816901408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG-45	CAG-45 sp000438375
DA_MAG_00068	3025935	92	61355	44.280793055509726	95.77464788732394	0.0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp900066765
DA_MAG_00069	2075174	196	13176	51.820781342672774	94.36619718309859	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus callidus
DA_MAG_00070	2380756	69	84401	34.07340501691844	92.95774647887323	1.408450704225352	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium	
DA_MAG_00071	2941828	119	39213	37.74354672436292	92.95774647887323	1.408450704225352	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena caecimuris
DA_MAG_00072	2787663	130	48193	55.948793065281066	100.0	0.0	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp000765235
