MAG,cohort,domain,phylum,class,order,family,genus,species,totalLength
AZC3J_1,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Acutalibacter,Acutalibacter muris,5907717
AZC3J_2,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,,4090622
AZC3J_3,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,,2951448
AZC3J_4,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Angelakisella,,1810701
AZC3J_5,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3337056
AZC3J_6,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3336599
AZC3J_7,AZC3J,Bacteria,Firmicutes_B,Dehalobacteriia,UBA4068,UBA5755,,,2331134
AZC3J_8,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1405,,2031217
AZC3J_9,AZC3J,Bacteria,Firmicutes_A,Clostridia,CAG-41,UBA1381,CAG-41,,2781487
AZC3J_10,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3027942
AZC3J_11,AZC3J,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,,1451003
AZC3J_12,AZC3J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269,,1571159
AZC3J_13,AZC3J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,,1868995
AZC3J_14,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,,1514004
AZC3J_15,AZC3J,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,,,2827536
AZC3J_16,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,4626975
AZC3J_17,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1337540
AZC3J_18,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,6455602
AZC3J_19,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,,3251103
AZC3J_20,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,,2732035
AZC3J_21,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,,5021932
AZC3J_22,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,,,1548440
AZC3J_23,AZC3J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,,,706077
AZC3J_24,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1912868
AZC3J_25,AZC3J,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,CAG-307,UBA7004,,1997608
AZC3J_26,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella_A,,4732333
AZC3J_27,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-917,CAG-475,,1590511
AZC3J_28,AZC3J,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,2684450
AZC3J_29,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,,3143487
AZC3J_30,AZC3J,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,Faecalibaculum rodentium,2227865
AZC3J_31,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,,3402797
AZC3J_32,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6,2704138
AZC3J_33,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,5794224
AZC3J_34,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1,5645534
AZC3J_35,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,CAG-272,,,2634809
AZC3J_36,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,,2582372
AZC3J_37,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,14-2,,3236209
AZC3J_38,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,,,1609230
AZC3J_39,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1772718
AZC3J_40,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1600741
AZC3J_41,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1852375
AZC3J_42,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,,1179452
AZC3J_43,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,,3422452
AZC3J_44,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Anaerotignaceae,ASF356,,3025112
AZC3J_45,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,4617889
AZC3J_46,AZC3J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,,1717091
AZC3J_47,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,,3274705
AZC3J_48,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Butyricicoccaceae,,,910197
AZC3J_49,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA946,,2975876
AZC3J_50,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA9475,,1678108
AZC3J_51,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1319349
AZC3J_52,AZC3J,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Savagellaceae,Savagella,Savagella sp1,1063004
AZC3J_53,AZC3J,Bacteria,Firmicutes_A,Clostridia,CAG-41,UBA1381,CAG-41,,2320230
AZC3J_54,AZC3J,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Parasutterella,Parasutterella excrementihominis,2725026
AZC3J_55,AZC3J,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,1846638
AZC3J_56,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3415917
AZC3J_57,AZC3J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,,1103477
AZC3J_58,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,,3166572
AZC3J_59,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,3584356
AZC3J_60,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,,2105768
AZC3J_61,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,,4191905
AZC3J_62,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,,3104036
AZC3J_63,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95,,3934102
AZC3J_64,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1394,,2044977
AZC3J_65,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,4719211
AZC3J_66,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,,3213829
AZC3J_67,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,,3871846
AZC3J_68,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA7160,,2705057
AZC3J_69,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95,,3729912
AZC3J_70,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110,,2844065
AZC3J_71,AZC3J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,,1354669
AZC3J_72,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,4106422
AZC3J_73,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,,4655518
AZC3J_74,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1,3592939
AZC3J_75,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E,,3099409
AZC3J_76,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_001689485.1,2379252
AZC3J_77,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_B,,5430108
AZC3J_78,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,,1187655
AZC3J_79,AZC3J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,,1504672
AZC3J_80,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,,1886395
AZC3J_81,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCF_000403335.2,4342819
AZC3J_82,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,,4095356
AZC3J_83,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella_A,,4690782
AZC3J_84,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_J,,2383897
AZC3J_85,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,,,2101604
AZC3J_86,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,,4249798
AZC3J_87,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,GCA_002428825.1,1950565
AZC3J_88,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,,3159531
AZC3J_89,AZC3J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,,2693484
AZC3J_90,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3868758
AZC3J_91,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,,4599987
AZC3J_92,AZC3J,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,Erysipelatoclostridium cocleatum,2753897
AZC3J_93,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA9502,,3661353
AZC3J_94,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Ruminococcus_B,,4689553
AZC3J_95,AZC3J,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,,,1899414
AZC3J_96,AZC3J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,UBA5026,,1767224
AZC3J_97,AZC3J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus,GCF_000403395.2,2659589
AZC3J_98,AZC3J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,2471619
AZC3J_99,AZC3J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273,,1956773
AZC9C_1,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,,1441951
AZC9C_2,AZC9C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,,2130512
AZC9C_3,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,,1443384
AZC9C_4,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3310519
AZC9C_5,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,2719989
AZC9C_6,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002492595.1,3080570
AZC9C_7,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1,3273864
AZC9C_8,AZC9C,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Zag1,GCA_001917115.1,1980852
AZC9C_9,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,3088173
AZC9C_10,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,,1736163
AZC9C_11,AZC9C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,,1374565
AZC9C_12,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,,,2259234
AZC9C_13,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella_A,GCA_002358555.1,3109202
AZC9C_14,AZC9C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-822,,1119133
AZC9C_15,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_J,,4795108
AZC9C_16,AZC9C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-314,CAG-1435,,1479950
AZC9C_17,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,GCF_002161485.1,4928785
AZC9C_18,AZC9C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii,6586224
AZC9C_19,AZC9C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-510,,2748021
