"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl_ebi_ena";"lca_tax_gtdb";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"1201710";"1";"Otu1";"None";"0.979783";"0";"0";"0";"97.1014";"97";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";""Porphyromonadaceae"";unclassified_""Porphyromonadaceae"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;"
"1201710";"2";"Otu2";"None";"0";"0";"0";"0";"100";"100";"13861";"15942";"533";"69";"69";"none";"Bacteria;";"Unclassified;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;"
"1201710";"3";"Otu3";"None";"0.9799";"0";"0";"0";"97.1014";"97";"13861";"15942";"533";"69";"69";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";""Porphyromonadaceae"";unclassified_""Porphyromonadaceae"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;"
"1201710";"4";"Otu4";"None";"0";"0";"0";"0";"100";"100";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;"
"1201710";"5";"Otu5";"None";"0";"0";"0";"0";"100";"100";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";""Porphyromonadaceae"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;"
"1201710";"6";"Otu6";"None";"0";"0";"0";"0";"100";"100";"13861";"15942";"533";"69";"69";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";Bacteroidaceae;Bacteroides;";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;"
"1201710";"7";"Otu7";"None";"0.944994";"0";"0";"0";"97.1014";"94";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";""Prevotellaceae"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;"
"1201710";"8";"Otu8";"None";"0.979935";"0";"0";"0";"97.1014";"97";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";""Porphyromonadaceae"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;"
"1201710";"9";"Otu9";"None";"0";"0";"0";"0";"100";"100";"13861";"15942";"533";"69";"69";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;";"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;"
"1201710";"10";"Otu10";"None";"0";"0";"0";"0";"100";"100";"13861";"15942";"533";"69";"69";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;"
"1201710";"11";"Otu11";"None";"0.979904";"0";"0";"0";"98.5507";"97";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;"
"1201710";"12";"Otu12";"None";"0.972118";"0";"0";"0";"97.1014";"97";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified_Lachnospiraceae;";"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;"
"1201710";"13";"Otu13";"None";"0.980005";"0";"0";"0";"97.1014";"98";"13861";"15942";"533";"69";"69";"none";"Bacteria;environmental samples;";"Unclassified;";"Unclassified;";"Bacteria;""Bacteroidetes"";""Bacteroidia"";""Bacteroidales"";""Porphyromonadaceae"";";"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;"
