gene_callers_id,source,accession,function,e_value,split,start_in_split,stop_in_split,percentage_in_split,MAG
553022,CAZyme,-,CBM13.hmm,5.2e-34,CP_000000053096_split_00001,0,2271,100,DA_MAG_00069
554938,CAZyme,-,CBM22.hmm,1e-44,CP_000000053726_split_00001,155,2507,100,DA_MAG_00069
537444,CAZyme,-,CBM32.hmm,3.3e-18,CP_000000048287_split_00001,907,2812,100,DA_MAG_00104
542961,CAZyme,-,CBM32.hmm,1.4e-17,CP_000000049971_split_00001,0,2712,100,DA_MAG_00100
539984,CAZyme,-,CBM34.hmm,1.1000000000000001e-27,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
539254,CAZyme,-,CBM48.hmm,5.4e-20,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,CBM48.hmm,5.4e-16,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
547511,CAZyme,-,CBM48.hmm,1.7e-13,CP_000000051371_split_00001,2055,2631,100,DA_MAG_00115
539305,CAZyme,-,CBM50.hmm,1.7e-14,CP_000000048838_split_00001,1,889,100,DA_MAG_00066
541424,CAZyme,-,CBM6.hmm,5.1e-14,CP_000000049504_split_00001,1338,2739,100,DA_MAG_00101
540747,CAZyme,-,CE4.hmm,4.3999999999999995e-25,CP_000000049290_split_00001,0,882,100,DA_MAG_00073
540990,CAZyme,-,CE4.hmm,2.8e-21,CP_000000049365_split_00001,1137,2589,100,DA_MAG_00101
544303,CAZyme,-,CE9.hmm,2.7e-103,CP_000000050372_split_00001,1580,2687,100,DA_MAG_00080
548540,CAZyme,-,CE9.hmm,1.1e-63,CP_000000051697_split_00001,2020,2614,100,DA_MAG_00052
546204,CAZyme,-,CE9.hmm,2.6e-15,CP_000000050974_split_00001,671,2465,100,DA_MAG_00032
554938,CAZyme,-,GH10.hmm,3.4e-82,CP_000000053726_split_00001,155,2507,100,DA_MAG_00069
550375,CAZyme,-,GH111.hmm,0.0,CP_000000052261_split_00001,0,2583,100,DA_MAG_00124
539984,CAZyme,-,GH13.hmm,1.2e-71,CP_000000049052_split_00001,648,2367,100,DA_MAG_00041
553941,CAZyme,-,GH13.hmm,4.9e-69,CP_000000053403_split_00001,1426,2524,100,DA_MAG_00109
539254,CAZyme,-,GH13.hmm,4.7e-34,CP_000000048821_split_00001,2,1601,100,DA_MAG_00123
543413,CAZyme,-,GH13.hmm,2.4e-29,CP_000000050106_split_00001,766,2704,100,DA_MAG_00093
535937,CAZyme,-,GH13.hmm,1.7e-25,CP_000000047826_split_00001,1869,2841,100,DA_MAG_00109
553012,CAZyme,-,GH13.hmm,1.2e-20,CP_000000053092_split_00001,1,850,100,DA_MAG_00063
547502,CAZyme,-,GH13.hmm,1.2e-14,CP_000000051368_split_00001,1517,2633,100,DA_MAG_00109
